AQP4	GAD1	NEUROD2	NEUROD2_GAD1	PAX6	PAX6_AQP4	PAX6_GAD1	PAX6_NEUROD2	PAX6_NEUROD2_GAD1	PDGFRA	PDGFRA_GAD1	PDGFRA_NEUROD2	PTPRC	PTPRC_NEUROD2
ABCE1	132	1251	7778	801	2420	251	129	2780	109	549	452	232	158	28
ABCF1	221	2507	23274	3358	9229	1037	394	7552	638	1154	428	637	611	605
ABCF2	339	608	5780	531	1393	182	17	1744	219	338	159	175	76	123
ABCF3	48	1290	3731	873	1268	341	34	1557	141	305	346	103	116	89
ABCG1	15	63	1102	71	123	0	0	171	1	181	157	40	301	54
ABCG2	1	105	739	140	42	0	0	10	0	37	4	0	1971	183
ABCG4	2	35	472	145	4	30	37	128	1	11	11	6	2	0
ABCG5	0	0	228	28	36	0	0	0	0	23	0	4	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	0	109	153	1	0	0	0	41	0	2	0	0	0	0
ABHD10	113	1492	8486	949	3015	110	206	2213	62	462	162	225	293	147
ABHD11	3	670	3594	498	2268	100	0	1161	2	81	139	25	206	5
ABHD11-AS1	0	0	0	0	0	0	0	0	0	18	0	0	0	0
ABHD12	339	473	7711	876	3467	575	194	2612	213	1125	219	259	1267	453
ABHD12B	0	22	10	1	47	0	0	40	0	5	0	11	11	0
ABHD13	21	1058	3990	456	1154	100	35	824	39	163	75	126	175	156
ABHD14A	555	1920	15268	1859	3491	638	98	3950	183	590	707	418	90	403
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	0	45	791	163	593	14	46	214	0	288	0	1	244	73
ABHD15	0	3	103	9	17	1	5	17	2	31	0	2	481	10
ABHD16A	173	1458	13350	993	2808	204	156	4612	104	918	37	359	383	118
ABHD16B	9	54	754	8	83	3	2	121	0	17	14	1	3	0
ABHD17A	2	158	2704	389	423	9	0	651	2	207	7	38	30	81
ABHD17B	20	626	4045	961	980	148	105	1529	175	221	70	169	82	110
ABHD17C	99	357	4486	710	317	173	102	1502	36	97	109	139	5	198
ABHD2	53	1005	6774	1599	1183	123	53	2012	28	744	365	435	267	50
ABHD3	132	168	1053	33	2226	964	126	1214	4	417	81	87	360	113
ABHD4	89	198	2081	70	914	235	60	592	35	435	98	136	18	33
ABHD5	31	530	4348	740	472	321	59	1944	22	355	331	81	316	138
ABHD6	94	689	7948	383	1039	246	47	1914	3	112	121	391	223	127
ABHD8	72	194	2553	532	380	161	1	424	53	90	4	64	103	3
ABI1	226	1698	8500	974	2240	734	177	2033	287	612	241	373	1191	410
ABI2	794	5521	33160	7055	6826	1143	430	10730	495	2169	575	1564	514	523
ABI3	0	77	320	4	42	4	0	8	1	1	0	2	1055	299
ABI3BP	0	48	483	13	164	1	0	132	2	31	1	13	0	0
ABL1	131	1081	4845	1050	1189	170	68	2749	64	359	132	187	149	108
ABL2	407	1774	15441	4259	1672	426	125	3750	201	753	101	1106	142	407
ABLIM1	310	1504	7607	1659	620	345	175	1636	201	675	262	687	303	341
ABLIM2	0	294	823	97	149	141	0	90	6	69	4	1	0	26
ABLIM3	12	352	1845	316	133	112	3	371	7	24	31	64	77	1
ABO	52	0	22	0	0	0	0	15	0	0	0	0	0	0
ABR	462	1765	18418	4074	2814	797	73	5864	236	794	198	716	619	739
ABRA	0	158	36	1	0	0	0	2	0	0	0	0	35	0
ABRACL	172	1637	39841	1719	5288	102	267	9281	746	877	242	269	1129	737
ABT1	83	986	8757	799	3585	189	81	2598	7	1078	104	154	496	57
ABTB1	302	347	3646	641	361	30	69	1083	14	145	67	69	53	37
ABTB2	7	353	937	251	844	71	46	979	1	6	0	35	3	0
ACAA1	174	1536	10080	1330	2650	930	116	2476	145	1165	249	534	582	236
ACAA2	846	889	9130	703	8872	1087	127	4810	45	1132	303	279	347	84
ACACA	345	765	14879	3385	2349	207	207	4459	192	867	308	619	233	506
ACACB	1	73	321	152	212	5	0	194	0	13	0	3	64	1
ACAD10	44	176	1804	337	397	43	0	657	166	103	8	150	15	8
ACAD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAD8	15	744	5395	851	1483	244	7	1508	8	506	141	328	31	105
ACAD9	1	186	3943	606	2019	188	136	1358	156	69	10	179	286	191
ACADL	7	172	227	79	165	159	86	53	0	12	46	0	1	1
ACADM	166	1889	14564	1334	4938	481	386	4348	171	894	136	207	354	439
ACADS	1	147	1158	205	173	99	24	218	4	1	9	5	164	39
ACADSB	6	366	2242	389	672	41	27	688	21	386	13	14	91	46
ACADVL	387	1814	15709	4753	4259	677	89	4472	246	1084	232	821	751	96
ACAN	0	1	108	1	1	0	0	41	0	22	1	45	0	0
ACAP1	2	34	748	119	165	203	0	225	1	41	1	8	58	111
ACAP2	856	4529	18233	2988	6083	1237	441	5372	554	1117	814	538	957	447
ACAP3	708	1944	17444	5334	2319	413	110	5428	327	716	84	1362	195	535
ACAT1	424	3013	21018	2786	4116	887	309	4706	441	1542	476	872	418	463
ACAT2	226	270	4946	575	1759	603	69	1380	35	185	63	140	23	90
ACBD3	169	1095	8351	1362	847	337	42	2517	213	233	40	138	390	286
ACBD4	31	94	703	50	176	105	0	127	1	1	0	0	7	0
ACBD5	148	1437	4376	804	2556	612	100	1327	35	1025	126	141	63	78
ACBD6	146	2077	17271	1896	4863	561	205	5824	97	1207	679	431	375	216
ACBD7	0	38	1061	59	1254	24	10	675	30	185	11	18	5	6
ACCS	109	37	406	77	144	0	0	164	139	47	0	2	14	9
ACCSL	0	24	0	0	0	0	0	0	0	0	0	0	0	0
ACD	24	1383	12240	1491	3194	126	236	2886	108	436	205	458	286	90
ACE	4	131	283	389	0	2	1	3	0	2	1	7	0	0
ACE2	0	45	30	0	0	0	0	0	0	0	0	0	0	0
ACER1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACER2	0	8	32	111	0	0	0	11	0	0	0	24	0	0
ACER3	229	501	3815	646	2028	354	138	1263	19	564	21	237	244	112
ACHE	55	56	661	300	27	29	14	172	0	102	13	76	77	41
ACIN1	99	1260	13673	2246	3588	264	210	4562	195	1062	249	539	443	235
ACKR1	6	470	2817	873	123	146	0	1196	58	156	2	115	8	107
ACKR2	0	5	7	1	10	0	0	60	1	4	1	1	132	1
ACKR3	17	2467	1165	1033	106	33	80	128	83	88	161	80	18	4
ACKR4	0	59	110	7	0	10	0	75	0	0	0	2	0	1
ACLY	475	1627	21637	2566	5517	665	127	8966	234	1567	173	756	470	612
ACMSD	0	9	37	0	63	0	0	36	1	0	0	0	0	0
ACO1	75	354	4851	486	1153	279	37	1225	27	488	18	179	17	5
ACO2	197	82	1340	200	301	72	16	353	1	103	5	66	0	19
ACOT1	2	22	110	8	49	17	0	23	0	13	3	4	5	0
ACOT11	0	0	41	14	5	16	0	23	0	1	0	0	0	0
ACOT12	0	0	5	3	19	0	0	28	0	0	0	0	0	0
ACOT13	231	692	5573	687	2225	273	120	2199	120	217	182	241	396	222
ACOT2	55	416	3390	361	1195	204	26	722	71	482	31	83	238	8
ACOT4	0	0	376	117	1	0	0	10	0	0	0	44	34	0
ACOT6	0	0	50	0	128	75	0	57	0	0	161	0	0	0
ACOT7	311	3004	45699	5739	6472	783	415	10122	459	1560	378	1237	796	612
ACOT8	19	169	1221	195	255	82	18	905	0	185	0	27	98	11
ACOT9	135	177	1862	236	868	172	60	392	2	382	1	29	199	2
ACOX1	57	492	5297	1082	1616	161	11	1803	15	197	96	196	144	206
ACOX2	73	0	42	2	104	51	0	103	0	18	0	39	0	0
ACOX3	124	124	3501	609	522	103	2	939	3	315	3	128	108	23
ACOXL	0	0	3	21	0	0	0	0	0	0	26	0	0	2
ACP1	712	4800	31093	3378	13671	1003	240	11901	220	2627	669	735	1053	541
ACP2	76	75	2030	368	1016	65	3	589	82	376	2	21	90	7
ACP5	0	1	5	6	107	0	0	4	0	0	0	0	0	0
ACP6	13	166	406	120	286	113	51	121	175	23	0	63	2	71
ACPP	0	1	18	5	4	2	0	6	1	1	0	0	0	0
ACPT	0	19	19	64	0	0	0	85	0	0	0	0	9	0
ACR	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACRBP	0	16	299	115	0	0	0	17	0	0	0	14	72	0
ACRC	1	62	449	218	25	1	0	119	32	22	2	62	0	93
ACRV1	2	1	113	151	151	0	0	177	102	93	1	0	0	0
ACSBG1	447	295	170	19	692	778	109	145	2	15	8	3	0	3
ACSBG2	0	8	76	17	92	0	42	24	0	0	0	0	0	0
ACSF2	47	5	144	75	412	125	0	286	0	168	0	57	174	22
ACSF3	368	471	2955	300	278	167	65	890	94	94	0	45	174	16
ACSL1	3	325	3974	737	150	84	97	983	2	208	24	147	43	174
ACSL3	444	1403	10240	1454	2466	751	324	3283	230	1092	427	676	576	405
ACSL4	174	862	9209	2188	515	102	35	2359	26	327	174	362	249	318
ACSL5	0	40	211	27	8	0	4	3	0	0	0	0	86	54
ACSL6	440	449	2418	887	519	481	2	586	52	307	16	167	22	135
ACSM1	0	0	63	0	0	0	0	10	0	0	0	0	0	0
ACSM2A	0	0	26	1	33	0	0	0	0	0	0	0	0	0
ACSM2B	0	0	8	0	0	0	0	0	0	0	0	0	0	0
ACSM3	0	0	2	0	1	0	0	0	0	0	0	0	0	1
ACSM4	0	34	86	0	1	0	0	23	0	0	0	0	0	0
ACSM5	0	0	11	4	3	0	0	0	0	0	0	0	142	57
ACSM6	0	17	275	1	12	0	0	1	0	2	1	0	0	0
ACSS1	98	194	894	82	924	396	90	892	0	40	160	95	50	3
ACSS2	15	242	2411	420	401	127	1	1052	18	230	2	393	144	2
ACSS3	1	180	45	1	42	0	0	31	0	0	0	6	0	0
ACTA1	0	1	831	174	118	0	22	92	0	33	1	108	2	2
ACTA2	0	0	2	3	6	1	1	19	0	0	16	2	0	0
ACTA2-AS1	0	1	1	0	0	0	0	1	0	0	0	0	0	0
ACTB	8590	68209	523277	50369	143962	14227	8429	149610	5609	30138	6952	13644	29630	11627
ACTBL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	0	22	399	1	1210	0	77	697	0	0	21	0	1	2
ACTG1	10836	98726	793801	85769	214404	20620	9819	255152	9247	38524	8516	21218	14326	12247
ACTG1P17	0	2	44	34	41	1	0	102	0	3	0	0	1	4
ACTG1P20	24	214	3021	755	724	119	37	799	218	217	105	32	9	108
ACTG1P4	0	9	228	43	2	0	0	34	0	67	0	0	1	0
ACTG2	0	0	93	24	132	0	0	24	0	0	0	0	0	1
ACTL10	0	0	140	2	99	0	0	2	0	0	0	1	23	53
ACTL6A	12	1043	9672	497	7973	284	322	4033	18	550	120	115	211	162
ACTL6B	71	2399	16253	2274	1159	141	111	3631	236	230	307	322	148	130
ACTL7A	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ACTL7B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL8	0	29	7	3	2	0	0	10	0	0	0	0	0	1
ACTL9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	133	800	6829	639	3958	331	270	3233	36	321	1	214	72	263
ACTN1-AS1	0	0	8	0	0	0	0	0	0	0	0	0	0	0
ACTN2	222	919	6499	3831	648	549	322	672	158	274	127	657	21	539
ACTN3	0	1	113	25	0	0	0	0	0	0	0	0	0	0
ACTN4	275	1369	5311	1331	1632	179	67	2560	59	562	123	622	321	134
ACTR10	623	3850	31258	3738	6561	1178	624	7188	353	1704	542	755	801	503
ACTR1A	559	6601	64174	5223	11945	1490	471	16759	847	2208	446	1355	1004	922
ACTR1B	98	588	5433	850	1789	269	139	1899	7	483	3	296	265	214
ACTR2	611	1970	17535	2534	3738	718	133	5355	386	684	179	621	1784	1081
ACTR3	192	2768	19793	2274	4599	348	335	6194	210	1023	277	655	1090	305
ACTR3B	99	906	10251	1428	2043	213	48	2776	278	266	96	384	14	189
ACTR3BP2	0	0	27	74	1	0	0	0	0	0	7	0	0	29
ACTR3BP5	0	0	1	0	1	0	0	71	0	0	0	0	0	0
ACTR3C	21	12	92	133	60	0	0	33	0	15	0	0	0	0
ACTR5	2	340	2533	181	673	58	76	625	4	37	52	23	182	9
ACTR6	218	1759	12667	1562	3239	269	68	3292	52	1125	150	178	306	359
ACTR8	62	228	2532	395	948	107	21	778	165	249	196	122	170	22
ACTRT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT3	0	2	48	0	38	0	0	0	0	0	0	18	0	0
ACVR1	2	276	2355	754	546	46	27	853	92	209	23	124	47	44
ACVR1B	106	565	7380	1304	826	270	0	1924	100	529	130	411	97	16
ACVR1C	0	38	652	399	103	2	0	156	4	4	0	57	0	0
ACVR2A	106	3646	34400	2939	8601	445	184	8217	771	1216	689	1134	183	368
ACVR2B	8	1268	9418	1751	3081	166	43	4123	180	413	20	282	266	18
ACVR2B-AS1	8	1	304	52	74	0	0	34	0	0	0	110	100	1
ACVRL1	0	29	57	1	53	2	0	3	0	74	1	1	1	1
ACY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACY3	139	41	423	115	102	3	0	25	0	3	1	3	2270	275
ACYP1	402	2150	16620	2322	6403	275	212	5013	176	697	317	1008	321	161
ACYP2	122	773	10034	1199	2470	1009	126	2396	12	240	76	460	503	84
ADA	336	164	419	186	522	573	1	205	1	190	7	2	195	21
ADAD1	42	0	3	0	0	0	0	10	0	0	0	0	0	0
ADAD2	0	0	0	13	0	0	0	0	0	0	0	0	0	0
ADAL	126	331	3890	313	968	418	130	1689	69	522	0	99	52	131
ADAM10	112	1658	5593	953	1965	216	47	2371	169	365	34	383	826	450
ADAM11	54	217	2372	1685	208	50	5	708	17	32	3	447	4	112
ADAM12	0	5	240	68	113	0	1	36	0	134	0	5	0	2
ADAM15	58	194	940	351	567	41	59	383	0	83	3	75	3	10
ADAM17	191	617	7580	1560	1996	219	167	1946	23	207	205	239	280	15
ADAM18	0	0	62	4	49	0	0	3	0	0	0	0	0	0
ADAM19	25	247	1946	417	554	0	125	837	23	137	2	20	11	2
ADAM1A	0	141	936	259	485	0	2	222	24	59	8	8	46	0
ADAM2	0	15	2	348	0	1	0	12	0	0	0	0	0	2
ADAM20	0	2	95	7	3	0	0	3	0	0	0	0	0	0
ADAM20P1	0	7	165	36	40	0	48	86	0	0	0	0	0	1
ADAM21	0	42	0	0	0	0	0	0	0	0	0	0	0	1
ADAM21P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM22	302	551	3656	1264	792	8	41	1159	4	137	28	179	32	129
ADAM23	37	424	4108	1591	630	83	15	1023	68	64	75	271	33	118
ADAM28	0	27	753	56	42	2	0	38	1	2	32	5	2623	368
ADAM29	0	69	78	0	0	0	0	1	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM32	0	24	349	2	0	0	0	37	0	0	0	45	0	0
ADAM33	0	107	601	24	136	105	1	186	0	2	0	103	1	41
ADAM3A	0	0	6	26	0	0	0	1	0	0	0	0	0	0
ADAM5	0	0	0	0	0	0	0	5	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM7	0	6	0	0	1	0	2	5	0	0	0	44	0	0
ADAM8	3	233	358	145	173	2	1	135	0	1	0	7	86	0
ADAM9	217	340	2247	312	1153	285	89	872	95	478	62	161	600	499
ADAMDEC1	0	0	2	9	0	0	0	18	0	0	0	0	0	0
ADAMTS1	0	69	16	1	36	0	2	42	0	0	17	4	1	0
ADAMTS10	26	368	3898	1226	236	69	48	604	6	54	60	93	22	14
ADAMTS12	62	23	15	1	143	0	1	85	0	1	33	0	22	5
ADAMTS13	42	167	1719	582	296	16	2	384	0	10	4	69	2	183
ADAMTS14	0	10	187	179	47	0	0	78	0	35	1	5	0	1
ADAMTS15	0	11	3	0	0	0	0	18	0	0	0	0	1	0
ADAMTS16	0	71	212	27	1	0	0	103	77	0	0	1	0	1
ADAMTS17	0	18	468	214	91	53	1	62	0	5	0	31	8	5
ADAMTS18	0	3	10	2	23	0	0	20	0	1	0	0	0	2
ADAMTS19	0	29	501	151	68	93	0	123	0	3	0	17	0	0
ADAMTS19-AS1	0	0	5	0	8	0	0	0	0	0	0	0	0	0
ADAMTS2	1	71	100	0	158	2	0	17	0	0	0	0	2	0
ADAMTS20	0	0	5	3	0	0	0	0	0	9	4	363	0	0
ADAMTS3	1	47	1240	119	117	2	0	629	107	287	5	69	10	50
ADAMTS4	1	17	165	110	136	1	1	94	2	6	2	36	1	2
ADAMTS5	0	423	955	400	70	1	0	230	2	83	31	71	1	6
ADAMTS6	121	426	1278	31	3598	401	186	878	173	408	0	7	0	1
ADAMTS7	13	642	8693	1234	1213	153	21	1661	137	478	330	242	36	85
ADAMTS7P1	0	1	17	0	0	0	0	53	0	0	0	0	0	0
ADAMTS8	86	77	513	136	8	0	0	157	49	172	0	79	40	0
ADAMTS9	143	39	1587	977	550	281	30	680	2	92	0	17	179	162
ADAMTS9-AS1	0	3	168	57	3	1	0	41	55	7	0	1	0	0
ADAMTS9-AS2	0	53	62	0	32	0	0	0	79	0	0	18	0	8
ADAMTSL1	0	32	443	75	136	7	0	115	1	2	0	25	1	0
ADAMTSL2	1	65	502	32	6	0	2	236	0	23	1	20	381	204
ADAMTSL3	3	257	1695	686	109	1	13	265	0	194	31	227	10	4
ADAMTSL4	0	81	6	100	2	0	0	60	0	0	0	0	4	0
ADAMTSL4-AS1	1	13	113	33	35	1	0	72	2	3	1	4	13	2
ADAMTSL5	35	1	98	1	37	0	0	20	0	0	0	1	0	0
ADAP1	92	165	2515	1013	61	44	208	337	135	282	19	56	146	164
ADAP2	0	27	1217	456	87	11	0	119	0	42	1	15	3560	851
ADAR	285	1350	10240	1597	2482	196	26	3499	42	386	40	218	509	372
ADARB1	20	93	4510	687	580	12	161	740	34	84	2	271	12	303
ADARB2	0	165	765	388	272	20	110	121	0	27	19	8	1	1
ADARB2-AS1	0	107	127	68	7	0	58	16	26	0	0	0	0	0
ADAT1	4	446	4022	763	1558	85	27	1921	88	140	7	249	26	203
ADAT2	26	24	2149	238	208	65	3	277	4	40	28	52	46	12
ADAT3	0	4	300	2	185	0	0	236	0	40	0	1	1	55
ADCK1	23	185	2620	662	590	89	88	666	0	42	51	155	196	23
ADCK2	10	455	2747	577	1034	49	2	734	77	74	26	79	482	5
ADCK3	89	578	4335	834	701	1	2	1014	1	520	7	28	138	69
ADCK4	97	121	2159	385	585	133	34	855	3	143	29	227	4	9
ADCK5	2	422	3016	517	804	4	2	883	94	30	14	14	246	105
ADCY1	747	3933	35687	15886	1638	975	348	6682	818	1299	973	4025	1146	1535
ADCY10	0	3	171	4	26	0	45	59	0	3	11	65	1	0
ADCY10P1	51	162	858	173	43	59	1	111	0	202	0	6	1	1
ADCY2	82	986	4565	809	1533	498	32	1009	17	95	174	112	108	82
ADCY3	0	155	1091	362	281	39	9	436	6	111	3	62	33	11
ADCY4	0	44	14	12	0	0	2	3	0	0	0	0	0	1
ADCY5	2	397	3471	638	527	55	53	1295	166	24	110	244	47	104
ADCY6	112	395	4694	1537	632	127	5	1441	3	294	89	202	142	68
ADCY7	153	126	1550	369	152	48	0	760	4	226	93	95	661	261
ADCY8	0	105	597	141	27	0	19	169	1	12	59	35	0	49
ADCY9	0	25	568	128	244	1	0	104	149	11	0	186	23	29
ADCYAP1	0	66	1598	386	542	0	52	563	1	39	16	6	25	0
ADCYAP1R1	325	471	7735	1208	1413	1894	40	2070	20	306	51	470	13	130
ADD1	901	3594	26567	5583	7613	2239	314	10020	1395	1568	337	985	775	214
ADD2	225	1036	10501	2219	1526	194	124	3913	630	375	268	467	175	541
ADD3	834	1150	7812	891	3471	2433	349	3469	69	928	72	389	99	90
ADD3-AS1	0	3	38	52	1	0	0	0	0	0	0	0	0	2
ADGB	0	0	11	0	13	0	0	0	0	0	0	0	0	0
ADGRA1	41	111	1853	311	875	9	0	770	0	448	29	217	2	1
ADGRA1-AS1	0	104	70	69	0	0	0	1	0	0	0	73	0	0
ADGRA2	0	45	123	52	11	0	2	180	0	0	0	0	2	0
ADGRA3	4	395	3918	796	1734	139	75	1680	24	414	86	91	5	108
ADGRB1	406	220	3708	1543	582	778	66	634	3	688	131	182	12	124
ADGRB2	188	900	12465	2315	2049	402	90	3572	99	757	66	1215	98	161
ADGRB3	481	1483	13841	2890	3335	1237	169	4243	211	637	369	906	29	195
ADGRD1	0	110	174	33	17	0	0	85	0	9	0	2	31	4
ADGRE1	0	14	16	0	0	0	0	14	0	0	0	0	0	0
ADGRE2	1	0	106	5	2	0	0	22	0	0	4	4	0	0
ADGRE3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRE4P	0	0	32	84	0	0	0	1	0	0	0	0	0	1
ADGRE5	1	440	228	36	129	299	22	8	0	59	42	27	156	67
ADGRF1	0	1	42	8	2	0	0	2	3	0	1	0	0	1
ADGRF2	0	4	45	14	5	0	0	4	0	1	0	0	0	0
ADGRF3	0	3	28	18	61	0	5	3	0	1	0	0	4	0
ADGRF4	0	0	53	1	18	0	0	0	0	3	0	0	0	0
ADGRF5	0	107	118	86	34	0	0	191	0	0	52	3	1	0
ADGRG1	3260	5113	17423	2349	11004	7146	729	10566	324	3897	1026	1277	1197	1327
ADGRG2	0	165	530	123	0	77	0	158	0	0	0	26	0	0
ADGRG3	0	17	100	41	11	0	0	64	0	0	0	0	0	0
ADGRG4	0	0	10	0	21	0	0	0	0	0	1	0	0	0
ADGRG5	0	15	52	0	0	0	0	6	0	0	0	0	26	54
ADGRG6	96	38	772	139	647	188	1	405	0	3	5	106	229	22
