Gene symbol	Astrocytes	Neuron	Oligodendrocyte Precursor Cell	Newly Formed Oligodendrocyte	Myelinating Oligodendrocytes	Microglia	Endothelial Cells
C12orf73	0.97265	1.0878725	1.4349185	0.501962	0.81007	1.5484505	3.0353405
C12orf75	2.025082	29.777596	5.9400435	1.2322175	0.929116	0.417486	0.8741195
C2orf40	0.1971725	0.2026445	0.1069665	0.1	0.1	0.1	0.587459
C16orf59	2.594393	3.022988	2.582553	1.4955745	1.1593025	1.361367	1.6179905
C19orf24	3.017629	1.847758	4.5383005	3.759823	3.597021	8.0086935	1.9401335
C6orf120	12.5941755	8.1704225	8.439362	8.0811445	7.95013	4.498171	6.3859205
C19orf12	1.470385	3.681756	3.1682695	2.805779	1.1829345	8.103118	4.6784115
C2orf70	0.229964	0.105496	0.1	0.1	0.1	0.1	0.101246
C5orf49	0.2118485	1.522921	0.5121735	0.1	0.190158	0.1273305	0.117851
C9orf50	2.141102	0.6877435	3.3187885	0.7697415	0.7032	0.276652	0.7790745
C17orf98	0.1	0.186749	0.1335425	3.1500965	3.183784	0.1	0.343524
C2orf81	0.385434	2.413162	1.1840575	0.3608445	1.15951	1.6919575	0.1
C20orf144	0.503547	0.279849	0.298706	0.1	0.1	5.970674	0.242771
C17orf105	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C4orf22	0.434534	0.1083895	0.184597	0.163225	0.1	0.1	0.1481655
FAM24B	0.658897	0.194143	0.109729	0.231617	0.1	0.1695135	0.106657
C9orf116	2.335779	0.4147115	0.1751605	0.1	0.1960305	0.1	0.2729045
C19orf81	0.2045625	0.6061785	0.1979595	0.4065765	0.370082	0.1069435	0.1
C6orf118	1.5310445	0.537173	0.782841	0.591205	0.6040405	0.399766	0.354537
C14orf105	0.1	0.1	0.1	0.1	0.1	0.1	0.1
CCDC192	0.1	0.1	0.1	0.1	0.1	0.107875	0.1069835
C4orf51	0.1279565	0.1	0.1	0.1	0.1	0.1	0.1094975
C11orf97	0.36833	0.1022035	0.1	0.1	0.1	0.1	0.1
C1orf158	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C1orf194	0.1	0.2931045	0.1	0.1	0.1	0.1	0.1421265
CCDC179	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C1orf100	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C4orf36	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C17orf97	0.3252225	0.338473	0.1583875	0.1	0.2097145	0.1590365	0.350071
C15orf39	3.6590055	0.9023475	3.79949	0.9060535	0.5355265	74.4615785	7.750362
C12orf50	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C16orf95	0.1	0.102343	0.1	0.1	0.1	0.1	0.1
C2orf88	0.529068	0.9638435	4.335419	1.1020965	0.619757	0.1119065	0.1606285
C10orf82	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C20orf141	0.100233	0.3893965	0.1	0.2555725	0.1	0.1	0.1
C17orf50	0.238379	0.1364005	0.8788665	0.452071	1.234899	2.903695	8.0088925
C6orf203	6.5921095	7.7938625	6.8198245	3.9731965	3.577462	2.334623	3.1450965
C20orf85	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C9orf131	0.1	0.1187835	0.1	0.1	0.1	0.1	0.1
C10orf53	0.1	0.1	0.1	0.1	0.1	0.1	0.1258125
C1orf21	3.6150995	4.30043	14.2600925	5.875715	1.5673025	0.5201815	0.3120685
C1orf146	1.2074195	0.6522275	0.389706	0.200447	0.1	0.1190805	0.133056
C9orf135	0.312983	0.1	0.1	0.1	0.1	0.1	0.1
C11orf94	0.7282365	0.455287	0.654676	0.221798	0.1	0.369281	0.1
C4orf47	1.8163465	1.7748655	0.9487005	0.814946	0.441343	0.1637925	0.1752515
C16orf46	0.2861835	0.902329	0.315927	0.4803215	0.2220985	0.149768	0.228068
C19orf44	3.3887225	1.8361665	3.579709	2.563233	1.342366	1.3046535	2.0721955
C12orf54	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C12orf71	0.1	0.1	0.1	0.1053535	0.1	0.1	0.1
C7orf34	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C16orf90	0.366615	1.345166	1.653369	1.3512775	1.60922	1.6341465	1.1531735
C20orf27	5.651649	20.320284	13.9689105	9.065449	5.843887	10.1319435	4.4243605
C10orf107	0.407304	0.387352	0.1004435	0.1	0.1	0.1	0.1
C2orf69	10.606597	2.9682095	19.0713565	9.571133	4.025881	0.243993	1.552028
C19orf67	0.167677	0.1317235	0.1185635	0.112822	0.1	0.1	0.116541
C22orf23	1.420216	0.668947	1.380463	0.508881	0.258482	0.3253385	0.790957
C2orf74	0.157845	0.1669985	0.1	0.1	0.120374	0.1	0.1
C1orf189	3.9120355	1.3808795	1.71576	1.366186	0.473354	0.7926225	1.5098085
C3orf62	0.3554465	0.901766	0.444958	0.336353	0.108386	0.336796	0.3717695
C12orf42	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C14orf119	8.8815715	9.1076805	11.0200575	10.1239495	8.295364	6.3709645	20.4955645
C17orf64	0.1	0.117945	0.1	0.1	0.111964	0.1	0.105616
C11orf98	6.568492	5.1871745	10.196435	10.8894685	10.1880825	8.1238125	22.0335765
C17orf58	7.397282	2.11383	11.972347	2.308578	0.459762	3.3167895	0.180915
C10orf128	0.1	0.1	0.7189715	0.1	0.142157	29.665506	0.1157325
C8orf4	7.530561	3.1651845	1.348035	0.1	0.1202205	10.002654	40.3447845
C16orf72	21.3526845	14.717169	9.9934765	8.1312815	3.715846	4.116058	12.5135165
C8orf59	0.5063225	1.278243	0.9913935	0.5097205	1.014578	0.3148685	2.443288
CXorf38	5.704037	4.8503985	8.100231	5.471705	2.3411905	6.1206245	6.6386475
C4orf3	23.336911	11.733585	33.7227815	60.637218	89.823105	15.1290485	76.5983205
KIAA1644	1.21593	5.398919	24.2166065	104.393752	17.501294	0.4049155	0.1076435
C21orf2	5.6531465	8.6613055	5.0393285	2.5860445	2.2624885	9.9282385	5.7720235
C11orf53	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C11orf24	10.176006	8.433612	13.6752725	8.8818335	6.4086125	3.4632985	0.695043
C11orf86	0.1	0.1	0.1	0.1	0.1	0.1	0.1
CSTA	0.1	0.1	0.1	0.1	0.1202745	0.38084	0.2368175
C14orf2	54.7069245	101.399427	104.7621665	98.8115875	115.370427	86.598584	204.0798885
C10orf35	0.351967	10.10109	4.4087725	1.911361	0.8293255	0.4161735	0.2699185
C9orf3	0.660629	1.6712415	1.3508395	1.9496665	1.417371	2.2749435	4.658954
KIAA1211L	0.1	1.671722	2.683587	0.4939035	0.913488	1.045666	1.837639
C19orf33	0.1	0.119982	0.1	0.1	0.1	0.203498	1.4155015
NBDY	8.814483	29.9849875	18.532592	19.0279645	21.223316	10.5859405	38.032238
C9orf64	1.6544905	2.488932	3.4588855	2.466736	1.693364	8.9634445	1.294112
C12orf43	7.7223635	35.939628	21.1055315	13.501456	15.142689	7.303772	11.723295
KIAA0825	3.402158	1.7825745	2.1255315	1.367081	0.519537	0.383484	1.814009
C6orf15	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C15orf61	5.849074	6.4624085	6.8473885	7.933696	5.7759055	2.4270425	3.9370455
C2orf54	0.1	0.1	0.1	0.190266	0.204095	0.1	0.1
C1orf53	2.391003	5.86268	5.7908445	4.782507	3.1833175	3.0938275	9.8422095
C19orf25	5.36362	6.008296	8.6526345	12.8132535	14.294459	18.9096375	13.0265585
C19orf47	4.0299245	6.509662	5.3063925	2.7649695	1.5540245	6.7860035	2.0117555
C1orf198	53.2095915	15.7055715	20.3465765	25.059278	33.2829025	38.1054565	19.253957
C11orf52	0.1775845	0.254947	0.140297	0.129147	0.1	0.1	0.8423735
C1orf35	4.76691	4.5046275	4.175156	3.488175	2.9718655	9.0977265	6.2141145
KRTAP13-2	0.1	0.1	0.1	0.1	0.1	0.1	0.1
KIAA1468	10.3441575	13.477424	7.21265	16.123242	6.759709	1.491218	5.500347
C6orf226	3.1536265	5.0744365	4.078684	4.724871	4.03792	2.915254	8.2460315
C1orf68	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C6orf58	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C10orf88	3.7942235	3.592726	3.318126	4.1384075	1.7501905	3.294966	2.331471
C6orf136	16.6811015	22.6353075	15.6740405	10.4630205	5.946181	6.3895175	5.0971565
C19orf48	14.5327865	30.9976535	25.9878315	23.6259	10.591206	19.6620805	8.5669735
C1orf52	10.077663	17.997315	17.508692	18.0929565	11.1670815	7.107501	12.486789
C2orf50	1.169476	0.3790085	0.282937	0.190132	0.105072	0.1	0.165433
C19orf70	12.093309	20.3671245	23.672998	25.7745355	31.8761945	25.0048955	50.470797
C5orf42	5.5091385	6.5802785	4.1532485	2.767427	0.6910065	0.5328895	1.3989275
C12orf49	5.4801995	11.658353	6.992456	5.0166045	2.937467	8.4726795	2.0938375
C22orf39	3.266161	4.611735	3.910265	1.9849875	2.383023	2.2413275	10.685038
C3orf70	17.610693	19.0859075	22.1707035	16.4631865	12.8096205	14.093498	11.3768635
KIAA2013	9.8408645	9.592547	15.263214	17.803262	11.4608745	52.1853425	17.5325675
C21orf58	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C8orf37	14.664394	6.154648	11.664522	16.3888855	8.2741885	2.547585	9.953947
KIAA0100	46.2936495	16.556088	41.963831	29.545723	25.564133	18.127649	21.282233
C10orf99	0.1	0.2769145	0.8843995	0.210248	0.2336505	14.324519	0.1
C1orf210	0.1	0.1	0.1	0.1	0.1	0.1	0.1
KIAA0586	2.1362115	1.8439535	2.0853175	0.8668415	0.266934	0.340043	1.228338
C14orf166	4.449669	6.4840995	7.596261	7.7522495	8.303929	7.9774655	23.5622485
C18orf21	3.6553475	3.305903	2.7189075	2.617308	2.454358	2.3553305	2.5249255
C11orf95	13.80317	25.645406	13.04838	8.530616	2.2372755	7.916001	8.957538
C1orf131	8.2795455	4.9613065	12.037051	12.509666	10.2923645	5.646389	7.0961025
C12orf65	2.101649	1.9974095	4.396844	2.051963	1.52965	2.5721175	2.7527665
KIAA0907	42.892302	25.177763	22.1404825	13.8474305	4.2410715	5.060653	21.8589655
C19orf60	13.868562	25.2590255	39.7395785	27.9521875	35.1320695	32.6412105	42.1004835
C2orf72	18.8646585	2.238265	10.953644	2.70915	0.247473	0.3108945	0.195438
KIAA1551	4.83664	1.7236985	2.9135405	0.8203635	0.1441385	0.7523775	2.0124435
C16orf45	2.0178935	64.1236735	48.70192	34.8123735	19.035985	3.9162195	0.80031
KIAA1671	2.164931	4.505999	0.861796	0.167754	0.5685545	7.0328705	15.5483555
C19orf18	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C18orf8	9.20572	10.6415405	6.296256	8.0946435	8.6535375	6.1162005	8.050551
C2orf76	1.821338	1.5176895	3.778378	3.5791495	2.512326	1.5645575	1.020231
C8orf46	0.2978925	8.4742735	266.4621215	150.9610335	6.570402	1.417939	0.4602265
C15orf40	2.2371925	4.094628	3.1930075	3.926777	3.79307	3.2420615	5.6138565
C9orf72	10.4490845	17.4558455	9.1025485	10.7483135	7.010371	29.094358	7.1928755
C7orf49	0.8792965	0.8005735	1.162863	0.932827	0.665847	2.21433	1.5305295
C2orf82	2.0073975	0.153699	0.2327565	0.1	0.2798135	0.1289425	0.1191735
C7orf50	3.0097785	2.8976345	3.3894975	1.9337445	1.16079	8.185696	6.2564825
C10orf71	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C14orf37	0.37042	3.608616	60.978297	23.7254315	3.0722205	0.1316745	0.282066
C3orf14	3.3684375	6.17258	5.522824	4.14359	2.7573795	0.762911	3.536672
SPATA6L	0.5465175	0.3042525	1.0989535	0.889727	0.2564825	0.1329925	1.6294485
C5orf34	24.167833	22.0843585	14.6555205	8.540817	2.589796	3.422389	8.4936665
C11orf88	0.2581345	0.1164315	0.1	0.1	0.1	0.1	0.1
KIAA1191	34.875134	22.0791665	47.2137155	67.815252	42.105539	36.3914595	25.761957
C10orf67	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C7orf31	0.1	0.5640485	0.1	0.1	0.1	0.1167745	0.8951525
C9orf153	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C16orf87	4.185726	6.2310745	6.6131725	5.0242255	1.2342605	0.9685	17.337386
C5orf52	0.471963	0.2480875	0.193592	0.1302565	0.1	0.143652	0.1466215
C1orf141	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C20orf194	48.7866435	19.7455375	11.3483085	89.2016085	51.685361	1.059549	7.243969
C19orf71	0.6165915	3.1998885	1.946242	1.904506	1.240394	33.2072975	1.006431
C22orf46	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C7orf72	0.1	0.1411785	0.1	0.142293	0.1	0.1	0.1
C14orf80	2.384717	1.3319515	3.401448	0.880252	0.6844535	0.3386395	0.4989155
C12orf29	7.637306	3.43475	6.73574	6.2109175	4.3150035	0.2981825	3.001478
C19orf57	0.394043	0.6893375	0.295302	0.4342545	0.599404	0.2199145	0.2855905
C3orf30	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C8orf89	0.165361	0.65668	0.1593895	0.1153735	0.1	0.18541	0.1
C14orf39	0.1	0.636783	0.2588085	0.1425705	0.1	0.1	0.1
C16orf92	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C3orf67	0.816811	2.127434	1.3968925	0.1984255	0.129028	0.1	0.2505405
C3orf38	10.024148	3.7702585	10.0635535	7.760305	5.066688	3.1956655	10.7532485
C18orf54	8.0412325	3.437295	7.737712	5.054491	1.285755	0.3467845	14.9596325
C2orf73	0.1	0.1	0.1	0.1396615	0.1	0.1	0.1
C1orf185	0.1	0.1	0.1	0.138168	0.1	0.1	0.1
KIAA0040	5.1839345	0.2046345	0.5039715	0.1	0.1	0.332644	12.9653715
C5orf47	0.1	0.1388905	0.1	0.1	0.1	0.1	0.1
C6orf222	0.1	1.26604	0.1	0.1	0.1	0.1695915	0.1
C17orf107	0.1	0.1	0.1	0.1	0.1	0.1	0.1
CCDC121	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C11orf65	0.195373	0.2093735	0.1	0.1156855	0.129387	0.1	0.3875645
C1orf105	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C16orf96	0.1	0.1	0.1	0.1	0.1	0.1	0.1038285
C21orf140	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C17orf100	0.393384	0.8412255	0.608334	0.271082	0.1044105	0.128384	0.1
CXorf36	0.1	0.1	0.1	0.1	0.1	0.1	12.0979595
C8orf74	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C4orf17	0.1	0.1	0.1	0.1	0.1	0.1	0.132643
C4orf46	2.4183985	1.793787	4.7995685	1.431776	1.3218045	0.3020905	3.418579
C3orf20	0.1	0.1	0.1	0.1	0.1	0.1	0.1
SIGLECL1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C11orf54	18.8070725	8.5512055	15.037096	16.6830655	11.010569	9.4969615	8.9816255
KIAA0355	7.3225875	5.6188885	12.2507175	14.2488235	11.999818	4.193684	63.717953
IQCA1L	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C14orf93	0.7922125	0.739655	1.6975265	0.941942	0.478526	0.820811	0.849803
KIAA0895L	1.8581395	19.106229	5.9026575	5.9148485	3.4821805	1.6967735	1.777602
KIAA1109	9.6775755	8.3685565	5.8553295	4.9048925	1.503241	0.562155	4.675947
C21orf62	2.2952945	0.1194905	0.1991215	0.181739	0.33373	0.1	0.1
C16orf78	0.1	0.1	0.1	0.1	0.1	0.1	0.1422325
C10orf120	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C17orf74	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C16orf86	0.1228695	0.134235	0.1088885	0.1	0.1	0.1	0.1
C10orf62	0.632985	0.1148015	0.1	0.1	0.1	0.1	0.1
C6orf201	0.1	0.1	0.1	0.1	0.1	0.1	0.1
KIAA0753	7.5748165	4.797341	3.7125405	2.2383195	1.0760625	0.7151885	2.5018185
C9orf43	0.16371	0.1	0.105308	0.1286815	0.2878515	0.1021805	0.384646
C1orf43	15.9114465	11.972652	17.200256	19.7802885	8.9385565	18.74033	11.377309
KIAA0930	8.296551	22.6239925	29.7083985	97.8316025	122.5166995	50.2725685	9.204853
KIAA1324	0.1155115	35.0120485	0.2747335	0.1	0.1	0.160052	0.1
CXorf21	0.1	0.1	0.195177	0.1	0.1	2.3354135	0.1
C1orf216	1.9352055	11.3349855	3.3897785	2.9249165	7.2537	3.225546	1.8312485
C17orf75	5.7655275	9.2190255	7.238975	5.864279	2.429945	0.883681	2.5375215
C4orf32	3.514773	1.575376	4.052414	5.072742	3.759643	0.869344	15.5229675
INAVA	0.237328	0.9654595	28.7348365	22.615096	0.78728	0.1	0.1
C15orf59	5.9386665	18.1136765	14.1573695	4.059984	3.3573155	2.725067	0.2371235
C5orf22	5.927507	5.2710665	4.647091	4.8612065	1.9762365	1.506862	4.1920895
C17orf99	0.1	0.1	0.2772545	0.1	0.1	7.1786065	0.1
C19orf68	2.2581975	1.173037	1.8944945	1.388632	1.501442	0.395739	1.0597105
KIAA0513	3.219971	20.0510485	9.070894	7.629197	6.174251	4.751967	2.3481175
C20orf173	0.5013635	0.188316	0.264948	0.1510475	0.1041065	0.1369835	0.1115155
C3orf18	0.4023285	1.886411	1.3178665	0.297258	0.121692	0.3074255	0.1232555
KIAA1456	4.1647225	1.2109035	3.3953875	1.515689	0.9125	0.1302385	2.808669
C20orf96	0.620663	0.2850785	0.16055	0.1	0.1285265	0.1	0.1
C18orf25	5.4797795	4.7826335	5.354227	2.747221	1.3145695	2.597456	12.0373865
C10orf10	0.2204625	0.2677985	0.6501225	0.1358465	0.2110865	1.769598	61.5422535
C14orf159	1.2408125	0.3647965	0.5286765	0.1039635	0.202254	6.06601	1.5982295
C16orf62	16.6794715	17.585463	24.6277715	16.227314	13.6303835	25.3914225	12.745265
C6orf141	0.1297375	0.1699855	0.1	0.1	0.1	0.1	0.1009495
C10orf76	4.6797975	8.008104	6.7669355	5.8975745	3.5668205	7.4475465	5.774092
C8orf76	7.376482	10.090513	9.982262	5.3217925	3.081795	7.389617	7.598442
C11orf70	1.6582775	2.09609	1.0069825	0.5406645	0.3147155	0.1	1.6931515
KIAA0408	8.2691005	14.4615105	12.0421205	4.211489	1.673524	0.1704355	0.1
KIAA1324L	12.5405465	6.5689965	4.7517725	9.134906	4.0287225	0.116461	0.4964995
C1orf159	7.918884	5.091654	6.465625	4.3555845	2.756747	6.0251535	2.543885
LYZ	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C5orf15	34.2684595	38.34416	59.324225	46.8501145	48.014197	55.147867	64.088008
KIAA0895	3.2773905	5.4102205	2.854181	0.945923	0.6280685	0.1	0.1
C8orf58	0.2291205	0.2270195	0.4899435	1.0806495	2.714493	0.3642585	3.7599365
KIAA2026	9.06666	7.287908	6.3697145	3.928317	1.3994495	0.8165335	4.549748
C1orf109	2.204731	1.554698	2.197177	2.6958425	1.84201	0.9062	1.3628305
C1orf74	3.6212875	1.237604	3.589066	0.96465	0.4958185	0.833392	1.231067
A1BG	0.1	0.1	0.1	0.1	0.1	0.1	0.1
A1CF	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C19orf66	3.7153125	12.6226005	10.529804	4.683977	0.7411845	4.3823925	3.3579275
A2M	13.264143	0.5021095	0.598456	0.1	0.1	0.1	0.1
A3GALT2	0.138231	0.1787595	0.1	0.1	0.1	0.1	1.8319945
C1orf174	5.8418035	3.5398735	5.957671	2.83601	4.434039	13.223502	8.591285
C15orf52	5.239542	0.555981	0.83136	0.6221675	0.712451	0.172654	1.0687115
A4GALT	0.1	0.1	0.2899825	0.1	0.1	0.1325385	0.6938325
A4GNT	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C14orf180	0.1	0.1	0.1	0.1	0.1	0.1	0.3475735
KIAA1024L	7.71383	20.4671205	38.0527265	8.1220985	0.4906375	0.4151375	0.3221395
KIAA1107	5.252557	18.803119	6.492906	6.017886	3.1145285	0.5309745	0.7287845
C8orf34	0.1745615	3.645988	0.3991725	0.1	0.216538	0.101263	0.1007515
BCLAF3	6.2053335	5.1734175	3.6317925	1.210834	0.345593	0.179072	3.1232105
C11orf91	0.1	0.1	0.1	0.1	0.1	0.1	0.1
C15orf48	0.1558915	0.1256975	0.1871515	0.1612945	0.112972	0.263876	0.525585
C1orf116	0.9618745	0.3546375	0.408687	1.588219	2.9594875	0.245454	0.29719
AAAS	4.129305	5.5255805	7.465417	3.0100545	2.5739325	5.0230015	5.5024305
AACS	35.6105585	19.363813	15.074211	53.200727	80.541813	8.3816565	2.5865595
AADAC	0.1	0.1	0.1	0.1	0.1	0.1	0.1
AADACL2	0.1	0.1	0.1	0.1	0.1	0.1	0.1
AADACL3	0.1	0.1	0.1	0.1	0.1	0.1	0.1
AADAT	0.1435795	0.2404805	0.143269	0.1	0.1	0.1	0.1
AAGAB	8.0390295	11.6928955	13.6657325	13.9798995	12.3613595	46.1722075	10.527843
AAK1	6.780917	11.205476	5.5099495	3.6757695	0.8760945	1.6509945	3.6006455
AAMP	36.104462	49.6960365	55.240716	58.8443535	59.22006	93.6101325	52.6217205
AANAT	0.106852	0.1582865	0.1	0.1	0.1	0.1	0.1
AARD	1.8495645	1.4058145	5.2205915	2.282939	0.5273425	0.1	0.2364665
AARS	17.633435	28.7026355	29.9058675	26.387518	18.6901765	39.415068	11.8741025
AARS2	2.662464	2.8549685	3.6343985	2.229369	1.827938	1.941521	1.600822
AARSD1	7.4463785	17.823001	19.3560255	12.253892	9.4134965	11.744703	12.4505435
AASDH	4.9591855	2.5139125	3.0097595	1.6146825	0.3979835	1.049461	0.7929845
AASDHPPT	7.465881	6.548285	6.8507005	7.319119	4.3996815	1.438798	8.339109
AASS	4.49201	0.13101	0.712236	0.1	0.1745575	0.1089495	0.1125035
AATF	5.589019	13.983171	6.9487895	6.791571	2.996817	4.5863105	3.103455
AATK	10.14076	19.7577185	13.055146	142.6823705	135.195538	4.768962	0.3526525
C19orf38	0.53261	0.1085835	0.299957	0.1441345	0.164826	8.367899	0.1911665
ABAT	53.3319145	53.5871205	32.5919995	49.0340385	20.4615875	2.0646625	2.203268
ABCA1	67.519514	3.2318255	15.5394405	5.787629	0.302847	8.487665	48.3711675
ABCA12	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ABCA13	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ABCA2	18.665823	19.3180135	18.022471	106.9795185	138.7684995	6.813967	2.191606
ABCA3	25.216813	22.092836	28.604884	18.0131495	7.2546915	18.843468	12.4739065
ABCA4	0.1254845	0.206033	0.1	0.1	0.1	0.1	2.333422
ABCA5	3.4128695	9.438609	5.481175	3.1839855	0.978793	0.1402155	0.765851
ABCA6	0.1591105	0.1416995	3.810151	0.866103	0.144006	0.115705	0.1
ABCA7	2.483484	6.447111	4.431008	6.0512925	1.639162	5.3857285	4.4201755
ABCA8	1.029389	1.124169	0.849135	0.205558	0.174317	0.1	0.1031015
ABCA9	0.2574745	0.247302	6.2601325	0.2529725	0.346446	26.8113955	0.5470095
ABCB10	5.826366	4.852176	5.498722	13.073022	17.476481	2.4804705	3.737005
ABCB11	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ABCB1	1.1206025	0.2611495	0.4186415	0.1	0.1	0.175019	131.0245355
ABCB4	0.9626725	0.3987095	9.1152285	1.788077	0.2936435	5.708982	1.8831785
ABCB5	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ABCB6	2.572888	9.238492	7.621379	6.745169	3.330647	6.068681	4.1794295
ABCB7	4.295371	3.589455	9.720177	5.581884	2.3804115	1.6036785	5.8827235
ABCB8	12.433527	9.479286	15.8052095	15.9096295	14.834498	8.437181	6.7796355
ABCB9	14.3771195	4.130041	1.732669	1.3495625	2.261658	2.3773185	0.807947
ABCC1	4.8125965	5.3715005	8.435339	8.7203285	4.6964645	10.472436	1.43979
ABCC10	4.7160095	2.194146	3.0918175	3.2654515	1.125584	1.7947145	1.2005715
ABCC12	0.4359095	0.1341665	0.1	0.1	0.1	0.1	0.1
ABCC2	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ABCC3	0.101671	0.1000485	1.667134	0.131744	0.1456345	56.54719	0.184463
ABCC4	4.106627	0.3733205	2.928853	2.3452485	0.264024	1.2806095	33.7898285
ABCC5	44.759081	33.6173645	39.0780145	30.387623	12.4988915	15.9215385	9.4561045
ABCC6	0.1270525	0.253823	0.1	0.1	0.1	0.1359005	16.05717
ABCC8	0.1	5.548814	0.1	0.1	0.1507485	0.1671315	0.1
ABCC9	0.627592	0.300475	0.49242	0.1	0.1	0.1147445	12.619199
ABCD1	3.661136	2.6990925	5.2891425	5.5604795	4.9495695	34.7477165	3.6351245
ABCD2	22.627704	1.4396845	2.013351	0.1561245	0.3997775	1.864587	0.3602295
ABCD3	60.062483	18.3870165	48.3411895	60.726742	27.833548	7.8130745	17.282339
ABCD4	10.099566	4.0626645	8.3908985	8.9488645	13.0913505	3.7527215	6.681985
ABCE1	20.9699315	12.164143	20.9435125	19.944544	6.208226	4.1027785	15.4093995
ABCF1	11.588343	15.4685985	14.6262855	14.711726	12.746375	19.8278825	18.6064815
ABCF2	12.9326715	8.883558	18.467852	13.88758	9.744981	21.734459	18.624607
ABCF3	10.8716875	11.2549975	14.188176	11.1166545	8.551915	13.11164	9.316342
ABCG1	0.219033	6.8065745	19.0186755	8.0092065	9.777342	18.8754795	12.8403315
ABCG2	1.3537095	1.7054495	14.3199455	4.416738	1.8096925	12.8607025	120.0983675
