Gene symbol	Astrocytes	Neuron	Oligodendrocyte Precursor Cell	Newly Formed Oligodendrocyte	Myelinating Oligodendrocytes	Microglia	Endothelial Cells	1NSC-wt	2NSC-het	3NSC-ko	4NSC-ko	5NSC-wt
NETO1	0.1022785	14.2698715	16.409598	4.115687	0.388783	0.1473965	0.1364315	11.6966	8.02287	3.78774	3.73504	4.82441
TOX2	4.513593	4.615282	2.890442	0.8756485	0.1251395	0.8412435	0.129331	11.1434	11.2738	2.32981	4.8847	7.51386
SKP2	4.293865	1.7614355	3.2260495	1.1240595	0.1999055	0.6422075	0.9061415	23.6316	13.3294	4.66915	7.80066	14.0534
MKI67	4.6455345	0.8397605	4.776183	0.3442155	0.1	0.2508695	2.3227885	68.0255	54.6835	21.1092	29.3726	69.0399
FOXB1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	4.06469	1.74634	0.334403	1.96461	2.3666
SLC1A5	3.2868515	1.1437615	3.4653515	0.980249	1.8827805	4.206755	4.9681065	14.4208	9.41413	2.80325	4.61023	10.9101
MAPK12	2.99616	1.8989715	1.257477	0.3048025	0.1	0.441172	15.7479385	5.50526	3.32128	0.905446	1.99572	4.64722
SLC43A1	0.2720395	0.1	0.1434755	0.1	0.1	2.2869085	1.291966	2.18778	1.2641	0.540121	0.699137	2.09956
MCHR1	0.8925795	2.043068	0.753438	0.363634	0.265772	0.1	0.1	0.967001	0.719833	0.299972	0.598223	1.20577
GABBR2	42.1182345	22.3514585	12.646319	2.1158275	1.1759275	0.3975045	0.1145755	3.36318	3.52341	1.46939	1.2308	1.50436
MIS18BP1	2.2104055	0.388021	2.9913305	0.2754905	0.1	0.1	0.8652225	17.7833	8.59907	3.70486	5.67509	10.1825
KCNV1	0.1	0.7485715	0.5097925	0.1	0.1714145	0.1	0.1	1.33445	0.500181	0.277052	0.28582	2.1085
CDCA7	2.3184105	5.3617275	1.6044685	0.141201	0.1	2.44455	3.5781335	28.7786	17.5849	6.39954	10.9549	22.6562
TIGD3	0.593241	1.5032255	1.3175705	0.4096845	0.2314535	0.309324	0.8113435	1.40098	0.81648	0.350574	0.445336	1.38775
ST6GALNAC5	61.514138	6.916624	1.133909	0.1	0.2960415	0.2221595	0.1203335	2.32628	1.52872	0.601427	1.0916	1.53062
UHRF1	3.7472795	0.7999295	8.1695035	0.9221005	0.1	1.5059965	2.615677	58.0276	38.4246	13.9126	25.5688	46.8031
PIF1	0.688101	0.13092	1.1366175	0.11988	0.1	0.112054	0.178566	11.0514	6.78776	2.83914	4.41739	8.08019
NCAPG	2.5803445	0.6541815	3.105538	1.7294155	0.421367	0.1028925	1.919333	28.4881	12.5581	5.30352	9.39159	17.5225
WDR76	1.3369985	0.8905535	1.692743	0.541746	0.261805	0.296603	0.8511175	7.14714	3.67479	1.94163	2.51738	5.09577
KCNG1	0.1	0.970283	0.199783	0.1	0.1891345	0.1	0.1	5.083	3.89976	0.634245	2.47383	3.05181
NUP210	3.6180085	7.1139675	14.529475	5.824894	0.7105425	1.138285	6.7157215	45.6437	31.5867	12.7449	18.3335	48.2322
HPDL	0.493965	0.246762	0.4544905	0.2644505	0.3822985	0.103759	0.1	1.16674	0.859613	0.399774	0.623023	1.14858
HMCN1	0.2834	0.1030385	0.1	0.1	0.1	0.1	17.731681	0.369687	1.7238	0.483769	0.358298	0.545935
HTR3A	0.1	4.106303	0.1	0.1	0.1045705	0.1	0.1	8.03305	12.5453	2.31778	3.97366	5.25458
RAD54L	1.0780145	0.227604	2.1013305	0.2996715	0.1092145	0.155108	0.4794	15.0535	9.225	3.86329	6.934	13.6925
CCNE2	0.5825335	0.7568785	1.6501345	0.3100335	0.1	0.1	2.199409	20.8446	9.45315	4.31237	6.93925	11.9849
IFRD2	3.3063035	1.159934	2.447219	1.3164585	1.1018595	2.7048785	4.142404	18.3226	12.8787	4.52767	7.23266	13.8237
GRIK1	0.475261	9.472964	12.702472	2.601972	3.179283	0.1	0.1	4.23733	3.7883	1.62196	1.66803	2.08744
SHMT1	1.200859	1.235711	3.6493095	2.8944615	0.6284325	9.9008525	2.2450435	41.2652	28.5543	10.0506	17.484	37.2571
HIRIP3	4.034669	3.735581	3.948429	1.359756	0.7095595	0.7312645	2.396475	31.919	21.9966	7.61915	13.7508	25.9098
LRRC46	0.422906	0.149757	0.318694	0.2988315	0.3481685	0.1	0.3587075	1.25878	1.44005	0.238665	0.361953	1.69265
HNRNPD	15.460558	27.4758115	20.941588	10.7168095	2.4663495	8.9889235	11.6749885	58.8837	42.443	0	32.8994	49.718
SLC8A2	11.0562585	18.46334	24.2287835	9.121815	2.5740555	2.022092	0.272264	8.48666	7.28865	3.12993	3.44581	3.91717
KCNE3	0.1	0.11849	0.1	0.1	0.1	0.1	4.5405965	0	1.04136	0.271059	0.095784	0.181823
TOX3	4.928704	8.8761815	15.394494	5.948762	0.519635	0.1	2.9761145	11.3973	7.14641	3.39173	3.76694	5.54331
SALL3	19.277378	2.5650475	9.4966565	2.4141985	0.1	8.7909595	0.1	26.6265	18.4236	5.78753	12.4675	25.0964
ESPL1	1.915408	0.3548435	2.4048225	0.284315	0.1	2.909095	0.4584555	11.6916	9.42298	3.92188	5.62198	11.2595
ERCC6L	0.566098	0.1111285	0.7788765	0.1203465	0.1	0.192521	0.8001955	14.1152	9.58442	3.86147	5.88541	11.3841
KIF20A	1.441148	0.3642275	3.617298	0.389047	0.1601885	0.48382	2.681386	60.6546	37.6126	15.4655	25.7583	45.3861
TNFSF18	0.1	0.1	0.1	0.1	0.1	0.9712375	0.228263	0.556063	1.03081	0.460275	0.617165	2.96872
E2F7	0.5960615	0.468277	0.6346515	0.129852	0.1	0.1	2.59258	6.93368	4.51613	2.04005	3.04736	5.82935
VWA5B1	0.1	0.1746175	0.1	0.1	0.1	0.1	0.1	0.734281	0.907066	0.56978	0.454996	1.21278
KLK10	0.1	0.1	0.278545	0.1253115	0.131954	0.1	0.1	1.87545	0.848274	0.194561	0.964077	0.35515
KIF20B	1.384005	0.2436835	1.557262	0.184598	0.1	0.1	0.7602285	14.1023	7.65204	3.6198	5.17492	9.95073
MCM6	4.9765455	6.4999815	24.257318	2.9202975	0.4087535	4.1809955	7.850037	99.5804	65.4264	25.6813	43.679	84.3682
NASP	21.601365	15.0636835	29.567406	13.6137315	3.8903745	7.6811145	19.9606515	151.12	99.1229	38.9371	64.0701	113.972
CDC6	0.4764135	0.1688805	1.452142	0.1651915	0.1	0.1149745	1.112882	7.91433	4.82972	2.09492	3.34645	5.80624
WDHD1	2.24077	0.966495	4.675841	1.0856625	0.192576	0.287943	0.7371725	9.9453	6.77758	2.69599	4.46068	9.64001
PLA2G3	47.7646805	2.453589	0.496013	0.888303	0.876741	0.1342	0.117391	4.6306	2.00631	1.33779	1.30894	3.40589
RASSF3	1.8179515	4.471459	3.317423	1.0753925	1.490816	22.4153945	70.1281165	73.3787	54.4979	17.0234	32.1395	51.6342
CCNA2	6.7378095	1.822311	12.300649	1.1052995	0.1	0.6613875	6.6825505	143.624	79.0981	36.4894	53.3895	97.6639
WNT7A	38.930534	5.140926	18.391489	2.690275	0.6166245	0.5055655	0.129091	7.82349	4.0527	1.17598	3.36903	6.78702
POLE	2.483507	0.431883	2.288016	0.3979595	0.111341	0.1769655	0.723749	10.643	7.61817	3.81873	5.18825	10.2052
CCNF	1.302215	4.190045	1.9629935	0.384731	0.1687675	1.382109	0.4018185	37.1018	23.5803	10.1723	16.9721	30.9369
EXO1	0.3558245	0.1089665	0.8341445	0.1170045	0.1	0.1	0.249641	7.58962	5.35154	2.41387	3.64584	7.24757
ANKLE1	0.876453	0.2324895	1.2269115	0.1971915	0.1	0.117266	0.476163	13.22	7.56842	3.83753	5.64005	10.9925
FBXO48	0.4714495	0.1569585	0.5013565	0.1169045	0.1	0.1	0.1026665	1.38985	0.569958	0.330751	0.600057	0.966854
DKC1	5.8700705	4.268097	7.32484	3.699157	0.974352	1.793635	5.418762	43.5707	28.8476	12.4213	19.1875	34.6317
ATAD5	2.636063	1.5786605	1.9582675	0.606377	0.1	0.1165565	0.804102	5.4287	3.26824	1.6211	2.22813	4.39552
LMNB1	8.5313515	14.9615885	30.8200045	5.88393	0.697262	6.4133935	16.5353055	181.734	121.614	50.1404	76.6359	145.051
DCTD	4.4612135	1.7286465	4.739622	1.5041525	0.234518	0.480666	1.725414	14.3665	8.30616	4.21812	6.22334	13.1258
CENPF	1.3947535	2.267218	1.89059	0.183798	0.1	0.1620755	0.610846	16.3289	13.5132	6.21507	7.7409	17.6989
PECAM1	2.141204	1.5230365	1.0546375	0.165038	0.1936165	8.9415805	311.489417	0.157088	2.1154	0.311909	0.715069	0.258976
CKS2	1.86121	1.2217355	4.5532415	0.8865275	0.132177	1.784829	10.5078195	38.0268	24.9031	8.80914	16.0177	22.5146
AURKB	2.3015295	0.6710545	2.9305495	0.346996	0.1	0.6249815	2.054892	64.3246	45.2629	19.2198	28.1136	51.9789
PRR18	2.6508525	7.4191675	7.381875	59.1662545	191.736594	2.705058	5.646706	28.3797	21.6418	10.8593	11.7068	28.1366
CECR2	5.7099375	1.2519455	1.7628535	1.1464345	0.2742465	0.2624385	0.4970705	1.06514	0.700757	0.436925	0.465555	1.12778
PLK1	1.8576155	0.7911385	4.1407155	0.582523	0.1	0.493018	1.8717555	84.8727	53.9209	21.9396	36.6913	65.9928
EME1	0.4356945	0.17779	0.762012	0.1886255	0.1	0.125283	0.3844375	7.33702	3.80992	2.44672	2.75732	5.7089
HELLS	4.0937035	1.205387	3.652456	0.61148	0.1	0.139008	3.927852	27.2075	14.7065	6.47925	10.8397	17.3226
NPTX2	17.2698165	11.223273	38.31391	6.5269425	0.853115	0.7801905	0.154746	6.60332	4.13539	1.70384	2.73195	13.0457
GINS1	2.417151	1.641602	4.07175	0.7879235	0.2826725	1.234369	1.5153985	25.2754	15.1669	6.89387	10.137	19.7326
AURKA	1.9204355	1.3686625	3.5306075	0.811757	0.396749	0.821489	2.4500575	61.4235	38.0162	17.2568	26.214	47.5647
HIST1H3H	0.4910585	0.3365985	0.178135	0.2990345	0.5325975	0.143083	0.6708465	0.49131	1.06907	0.451978	0.360676	1.04365
H2AFZ	23.2802315	56.183914	65.5617745	25.720613	16.1154425	23.9611105	107.312106	118.833	47.4419	29.9319	36.6358	61.5608
RECQL4	1.320321	0.842663	1.1501105	0.3066635	0.1683135	0.266107	0.419087	5.05272	3.07293	1.40158	2.15217	4.06454
EFNA5	0.4066835	2.671408	0.2281565	0.1	0.101564	0.169032	0.1	11.4818	11.4919	2.55767	7.77892	1.05898
CCDC18	0.854333	0.245422	0.3928115	0.118273	0.1	0.1	0.333126	3.18199	1.42945	0.517356	1.22635	1.96305
ASPM	1.6959835	0.1960815	2.1857305	0.220346	0.1	0.1	0.4305505	14.0385	10.0803	5.15757	6.52155	13.4526
SLC6A11	563.902371	35.33917	29.437935	7.020303	8.011955	4.558722	1.084213	62.9994	38.5734	17.3651	23.1288	74.1623
MMS22L	2.765558	0.802779	2.638183	0.929965	0.3095725	0.6971395	1.7260085	9.59897	6.07229	3	4.43924	8.92592
NRM	2.5497715	1.7537375	14.215587	21.189523	2.922798	28.9582035	5.7667915	29.1137	17.1895	8.9046	12.9778	24.9643
CBX2	1.513691	1.394568	1.588997	0.4597905	0.1	0.2215285	0.8886695	4.9888	3.16247	1.68189	2.46779	4.88108
DLGAP3	0.2838305	20.993943	13.4432025	2.1027265	10.842233	16.03686	0.2707055	7.17029	6.99282	2.89077	3.19834	13.3504
TK1	1.704832	0.3704425	2.392561	0.260985	0.1	1.3222645	3.699469	51.9681	39.9279	16.5549	25.4294	43.1181
DSCC1	0.6985555	0.2698955	1.4958315	0.141849	0.1	0.1106395	0.7365445	7.54349	6.72159	2.29527	4.73018	6.30874
CHEK1	1.7550005	0.7869205	2.27173	0.341458	0.1	0.1	0.9410295	12.3537	6.31931	3.39975	4.88339	9.42416
MCM10	0.8102035	0.1529295	1.4468525	0.176535	0.1	0.2667945	0.699934	16.9995	11.5515	5.16935	7.50601	14.6238
XYLB	0.4498755	1.118608	0.852131	0.491668	0.145686	1.504376	0.1080855	3.6734	2.43059	1.3877	1.6453	3.41563
BUB1	1.808082	0.309379	3.239088	0.2658635	0.1	0.1766925	3.3652725	28.2567	13.812	7.3535	10.8716	19.4551
POLA1	2.4787755	0.965615	2.2680075	0.5726715	0.2596915	0.314398	2.001543	22.1356	14.6691	7.60719	10.1793	17.7517
STIL	2.118958	0.605082	1.547062	0.19012	0.1	0.1178055	1.206479	9.81965	6.42558	3.11049	4.47142	8.28612
MID1	19.131916	9.7509615	17.199046	4.1355595	0.8444225	3.1356225	6.6488405	85.5637	73.741	29.7063	42.9752	30.2802
CDCA5	1.9525195	0.4754275	2.5442445	0.505988	0.123608	0.8853085	1.889026	21.8116	14.9272	7.26275	8.95442	17.6945
PVALB	0.1	0.1	0.6430035	1.4214895	2.2800955	0.8689615	0.178285	0.591879	4.81477	1.49843	0.963503	1.59977
NSL1	0.9404825	0.182664	1.6241325	0.253763	0.119402	1.106501	0.98817	6.96775	3.92331	2.3479	2.89384	5.73385
MCM5	3.923622	2.4584735	20.813728	2.6783695	0.5799475	4.6876385	9.8517125	62.5501	48.0684	20.2686	32.8143	59.2771
CHAF1B	1.5008155	1.2721145	3.926141	0.466103	0.1299905	0.6673865	3.2691245	34.4784	24.3446	10.882	17.349	30.1048
E2F8	0.822651	0.3234035	2.9354425	7.852685	0.362079	0.287678	0.4235565	19.5943	12.1201	6.45982	9.15305	16.5679
DBF4	2.9293745	1.3581205	3.6654995	1.286237	0.224413	1.2819725	6.266799	48.6539	26.6964	12.9814	19.6151	33.9071
CEP55	1.1058325	0.23986	2.2837785	0.2360405	0.1	0.2155355	3.151359	16.7034	8.43055	4.07287	6.78226	11.7791
TRIP13	1.0462405	1.036972	2.349831	0.274888	0.1	0.1979995	1.668467	16.6819	10.5302	4.87012	7.32923	13.394
FZD10	21.7206315	1.9623345	1.1328005	0.11746	0.4190415	0.465408	0.1	12.2161	7.0294	3.96699	4.8334	8.9987
CKS1B	3.3338145	5.8130265	4.937886	2.3882475	1.0307635	4.250538	18.6680295	123.488	79.2887	34.5147	47.0963	81.2818
ATAD2	5.487653	0.7261985	3.515072	0.7033665	0.120649	1.1702995	2.592512	21.6653	13.7049	6.84696	10.1628	16.6786
KIF2C	1.310237	0.3181125	3.3073185	0.192587	0.1	0.5764165	1.433009	38.0426	22.5449	10.6854	16.9622	30.2027
KNTC1	0.887445	0.202658	1.847062	0.2231175	0.1	0.1	0.769685	10.2168	6.98391	3.6554	5.18648	9.77887
THG1L	3.267641	2.407993	3.112788	2.7127055	1.985247	2.5334695	2.594761	7.90299	5.7548	2.85079	3.64671	6.80313
HAUS5	1.121029	0.9677525	1.918815	0.9709975	0.6435705	0.596784	1.284822	5.84924	5.39197	2.26168	2.63418	5.27981
NCAPD2	7.2875005	3.745371	11.3574925	1.841032	0.719268	1.7823005	3.399073	80.8014	57.4324	25.6552	40.2532	69.7837
CCNB1	1.457754	0.485245	4.0574745	0.503372	0.1	0.2975545	1.461076	55.9145	33.2702	16.4816	23.1172	39.7497
E2F2	0.8143955	0.3347155	2.111087	1.0317705	0.6962645	4.3707115	1.258547	7.26982	5.29178	2.52412	3.63076	6.72189
CDC7	4.234016	4.065926	9.71651	2.9323635	0.645273	0.2779655	1.4858715	19.0383	12.1583	5.75437	7.61457	14.8694
CLSPN	1.050764	0.1408275	1.221025	0.1332525	0.1	0.1047155	0.561827	14.6747	10.116	4.54519	7.17222	12.6895
FANCB	0.85812	0.6568175	1.357737	1.0094075	0.3286805	0.2596525	0.4085465	5.33691	2.62559	1.55394	2.14281	3.58606
RFC5	1.4757215	1.893628	4.9628495	1.401926	0.9155685	1.838078	3.489343	23.2806	16.4821	5.78468	11.4925	20.1138
EFTUD2	15.9867585	15.748865	28.643184	18.5668605	11.446974	16.8391345	29.848206	68.6903	60.4409	48.7104	57.5673	69.6379
CDCA8	3.7961465	2.047315	10.6450675	1.257734	0.7111625	1.490891	3.6901115	114.047	71.3769	30.3134	51.7285	97.3435
POLE2	1.612188	0.394634	1.8207205	0.5780445	0.1	0.3642375	2.4136175	21.6257	11.7152	5.58371	8.39034	13.7702
MCM2	3.502526	1.8548905	15.0405555	2.4080405	0.533209	4.241197	10.103771	76.9736	53.9868	25.2089	38.2341	71.8471
NDC80	1.27788	0.250358	2.4163225	0.2281145	0.1	0.165752	2.6721245	31.1287	19.4948	8.79896	13.4386	27.1084
CHRM3	0.1	3.6654825	0.2730045	0.1	0.115482	0.1	0.1164115	8.70949	9.57489	3.63782	4.70001	5.50299
KIF15	1.7970765	0.262818	2.3312325	0.3952385	0.1	0.1130945	1.166078	17.595	11.4478	5.1684	7.63762	13.8767
KIF22	3.463556	1.045405	7.834738	0.945804	0.269866	0.841339	5.3271665	70.2807	45.7632	19.5917	31.6244	58.7748
TGIF2	9.9066835	1.244963	2.3526405	0.525584	1.0237665	36.574344	10.4343005	25.7952	22.8355	8.85353	13.626	22.9306
DLGAP5	1.013527	0.1433145	2.2225545	0.207822	0.1	0.3041115	1.2062575	34.8687	22.7642	9.84221	15.3744	26.9922
KCNK5	1.0332165	0.179012	0.148911	0.4072185	1.4165505	0.1035755	3.249163	3.42152	2.90073	1.44707	1.70325	2.54626
RIMS3	1.1591045	22.3666505	2.156941	0.4918665	0.513743	0.697286	0.1	3.78461	3.77641	1.35395	2.84406	6.22497
TYMS	0.6354195	0.401013	1.492797	0.3401515	0.1	1.048158	2.6245085	11.6204	8.52612	3.43869	6.22679	10.6493
BCL11A	0.804558	60.142701	1.7007735	0.40619	0.9418145	0.5790295	0.284109	2.49213	0.876588	0.540959	0.815534	1.20363
RTTN	1.649693	0.6796595	1.4962695	0.7764835	0.2727125	0.589555	1.178852	2.41984	1.49347	0.735982	1.01373	2.20542
NPM1	9.5224395	16.6588215	10.579444	9.198687	5.5001775	5.0053435	36.842409	206.063	129.16	67.7746	84.6097	141.361
LPO	1.395247	0.3412745	3.421	0.493108	0.337043	0.1	0.1704425	4.97507	5.24478	2.08947	3.8589	9.36525
CLIC5	0.152338	0.2058855	0.1101805	0.1	0.1	0.1660505	12.2707995	2.85437	8.64089	2.60941	1.49453	3.00682
MCM7	2.5889	3.554149	7.1410955	3.225185	1.2634115	2.209982	2.7402045	53.6322	35.3933	15.4978	25.0093	40.465
LYAR	3.457413	3.216107	3.9664785	2.982172	1.3352295	2.2624925	7.0601855	46.1544	33.6875	11.716	21.1771	34.354
BRCA2	1.2157545	0.530255	0.9674905	0.196385	0.1	0.123361	0.643885	3.17645	2.45899	1.30918	1.40082	2.95893
KIF14	0.6474925	0.1	0.8749715	0.1052845	0.1	0.1	0.1636955	4.49309	2.75587	1.43416	2.27292	4.00396
TOP2A	7.6527795	0.809239	11.147303	0.8600685	0.1	0.917497	6.8797735	150.688	101.822	47.7082	70.834	129.297
RACGAP1	4.5325325	5.1163265	18.236339	2.2021275	0.4691645	1.827124	4.7705835	114.888	72.0946	36.6775	53.1588	94.2449
KIF11	2.610963	1.4907885	4.472857	0.4102375	0.1	0.1379485	2.012348	56.1321	35.777	17.0846	24.4161	43.2571
NRGN	1.7929545	35.558676	57.379585	10.833029	72.7977115	87.702603	6.7086995	7.38293	9.1964	2.70594	3.38163	6.25165
CENPE	1.1511745	0.2209655	1.446371	0.174844	0.1	0.1	0.875168	18.2303	12.6791	6.12064	8.52837	15.7424
CNPY1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	2.30051	2.20897	0.859948	1.50551	1.34869
GAS1	38.268502	3.992015	20.8469595	3.6191455	0.4099295	0.307429	0.427137	49.9302	37.754	14.6975	20.0518	21.3896
IGSF10	2.888472	1.2327695	2.7743445	1.608783	0.1	0.1128825	0.119066	10.8394	9.59226	5.62142	5.472	7.70861
CHAF1A	1.828217	2.3592435	4.1890605	0.8835535	0.611659	0.464924	1.909065	31.4199	24.1815	10.1389	16.7852	28.8737
CDC45	2.512511	0.8347445	5.0519635	0.9243545	0.541551	0.5659405	4.2545	32.1652	20.645	10.7216	15.2456	27.7985
MDN1	5.6053125	2.555837	2.953924	1.4475865	0.3037445	0.6522535	0.7778315	3.11149	3.71292	2.10585	2.05684	4.37145
UNG	1.5744385	1.149611	2.965356	0.3367755	0.146711	1.9310015	1.6315595	21.7108	15.2314	6.44834	11.0045	18.5186
RAB38	0.5116405	0.1	0.403887	0.108475	0.1	0.126914	0.194237	4.51011	3.99309	2.00827	1.98963	3.50863
CHTF18	1.4180995	0.5453185	2.636476	0.720521	0.392005	0.5847505	1.048556	10.5875	7.46397	3.75413	5.24368	8.94312
BUB1B	1.7283695	0.5128225	4.042161	0.3244755	0.1	0.654736	3.3198115	53.6812	33.4795	16.2093	25.9375	42.9401
POLA2	4.441593	4.018311	5.586341	2.3675675	1.609503	8.6843265	6.625116	30.0489	20.4522	9.95605	14.4115	25.11
HAUS4	1.8764525	2.729358	3.1518135	0.611868	0.203236	2.1200455	4.938992	22.3717	15.6899	6.19661	10.7922	15.3694
PALB2	0.8367905	0.20938	0.50141	0.164672	0.1	0.3207985	0.266698	1.90745	1.07023	0.676951	1.0339	2.24517
KLF10	39.864318	12.5973715	8.454395	16.366564	5.8766855	46.623943	25.409616	47.3244	31.0512	12.3337	16.9089	28.8606
TTK	1.483612	0.348727	2.916158	0.223561	0.1011505	0.143411	1.8806645	20.0901	12.7044	6.81777	9.18833	16.1689
PKMYT1	2.443232	2.574418	3.7849635	2.514581	2.7859695	0.7497865	2.2129595	15.1034	10.8147	4.84644	6.80512	13.3526
FAM60A	1.710074	2.010935	1.444199	0.8711165	0.5516285	0.8448585	10.9452945	9.70319	5.69596	2.17767	3.77658	7.30598
POLQ	0.631935	0.3085585	0.711674	0.1868115	0.1	0.1	0.2442695	2.73752	1.75661	1.06564	1.40428	2.73688
PLK4	2.0285125	0.945885	2.303031	0.544879	0.220348	0.2510355	2.081681	16.5812	10.1809	5.49474	7.30575	11.9281
MYO19	5.8924285	2.523135	3.090183	1.50606	0.18756	0.764082	1.8794995	10.6251	10.521	4.89564	6.25171	10.9155
BLM	1.6480275	1.3029115	1.50394	0.6949625	0.3661805	0.332812	0.9604365	13.1168	6.74591	3.59407	5.11537	9.31115
MCM3	5.1612195	0.9394975	10.577373	1.640293	0.792896	12.9033175	8.386832	95.6389	70.8591	35.5452	48.1315	89.1218
SMC4	19.8245125	2.0791125	7.2531545	2.083863	0.721347	0.3618895	9.17377	80.9528	46.2153	23.513	31.3399	51.3768
DEPDC1B	0.5388135	0.2048075	1.158812	2.318869	2.579588	0.144641	0.9855535	8.87403	4.95703	2.5749	3.89671	8.6218
MDC1	5.158981	1.7178515	3.919865	2.678356	1.24213	1.552276	0.863691	27.927	19.1283	10.5676	14.0551	27.3498
BIRC5	3.134098	1.5834015	11.3821425	1.5172625	0.412657	2.289988	9.4564185	110.817	76.9063	35.0321	52.2937	91.2448
MEST	29.310755	9.968759	19.0675165	3.4002935	0.7024895	0.679674	15.1465005	105.181	52.7088	44.9793	56.2625	207.132
HMMR	1.084186	0.139449	2.097986	0.148452	0.1	0.1258725	1.2268455	48.3742	28.3725	14.7169	20.9428	35.0967
CENPI	1.892173	0.385214	2.9585065	0.85604	0.1504095	0.183563	1.412482	17.5652	10.6434	5.78435	7.47432	13.751
KIF24	1.736979	0.9006495	0.67514	0.6708275	0.1751895	0.1	0.289653	2.98184	1.69021	1.0262	1.37184	2.38778
POLD1	3.356443	1.7563745	6.1446825	2.04791	1.0479365	3.098853	3.0050885	35.0373	25.7847	11.2162	17.0284	30.5171
OIP5	0.5796505	0.289838	1.0087145	0.185689	0.1	0.1	1.4139645	12.9188	9.48053	4.11308	5.73787	9.94889
LIG1	3.80904	7.455045	13.893362	2.629861	1.7748515	3.3230975	5.5311995	62.7949	44.6553	20.3391	31.3511	51.7527
