Gene_ID/FPKM	1NSC-wt	2NSC-het	3NSC-ko	4NSC-ko	5NSC-wt
FOXB1	4.06469	1.74634	0.334403	1.96461	2.3666
SLC1A5	14.4208	9.41413	2.80325	4.61023	10.9101
MAPK12	5.50526	3.32128	0.905446	1.99572	4.64722
SLC43A1	2.18778	1.2641	0.540121	0.699137	2.09956
MCHR1	0.967001	0.719833	0.299972	0.598223	1.20577
TFAP4	4.66197	2.4323	1.05283	1.1819	2.98501
GABBR2	3.36318	3.52341	1.46939	1.2308	1.50436
MIS18BP1	17.7833	8.59907	3.70486	5.67509	10.1825
SERTM1	7.85518	7.6685	1.97466	3.58538	7.32245
KCNV1	1.33445	0.500181	0.277052	0.28582	2.1085
CDCA7	28.7786	17.5849	6.39954	10.9549	22.6562
TIGD3	1.40098	0.81648	0.350574	0.445336	1.38775
ST6GALNAC5	2.32628	1.52872	0.601427	1.0916	1.53062
UHRF1	58.0276	38.4246	13.9126	25.5688	46.8031
PIF1	11.0514	6.78776	2.83914	4.41739	8.08019
NCAPG	28.4881	12.5581	5.30352	9.39159	17.5225
WDR76	7.14714	3.67479	1.94163	2.51738	5.09577
KCNG1	5.083	3.89976	0.634245	2.47383	3.05181
CLHC1	11.6846	6.22729	2.55465	4.90339	8.55846
NUP210	45.6437	31.5867	12.7449	18.3335	48.2322
RMI2	2.912	2.69472	0.946332	1.41056	3.03712
HPDL	1.16674	0.859613	0.399774	0.623023	1.14858
HMCN1	0.369687	1.7238	0.483769	0.358298	0.545935
HTR3A	8.03305	12.5453	2.31778	3.97366	5.25458
RAD54L	15.0535	9.225	3.86329	6.934	13.6925
CCNE2	20.8446	9.45315	4.31237	6.93925	11.9849
IFRD2	18.3226	12.8787	4.52767	7.23266	13.8237
GRIK1	4.23733	3.7883	1.62196	1.66803	2.08744
SHMT1	41.2652	28.5543	10.0506	17.484	37.2571
HIRIP3	31.919	21.9966	7.61915	13.7508	25.9098
LRRC46	1.25878	1.44005	0.238665	0.361953	1.69265
HNRNPD	58.8837	42.443	0	32.8994	49.718
SLC8A2	8.48666	7.28865	3.12993	3.44581	3.91717
KCNE3	0	1.04136	0.271059	0.095784	0.181823
TOX3	11.3973	7.14641	3.39173	3.76694	5.54331
DEPDC1	11.6652	4.73713	2.52262	3.51032	5.66155
SALL3	26.6265	18.4236	5.78753	12.4675	25.0964
ESPL1	11.6916	9.42298	3.92188	5.62198	11.2595
ERCC6L	14.1152	9.58442	3.86147	5.88541	11.3841
KIF20A	60.6546	37.6126	15.4655	25.7583	45.3861
TNFSF18	0.556063	1.03081	0.460275	0.617165	2.96872
E2F7	6.93368	4.51613	2.04005	3.04736	5.82935
VWA5B1	0.734281	0.907066	0.56978	0.454996	1.21278
SLFN13	5.01058	3.61981	2.1203	2.15099	4.94546
KLK10	1.87545	0.848274	0.194561	0.964077	0.35515
KIF20B	14.1023	7.65204	3.6198	5.17492	9.95073
MCM6	99.5804	65.4264	25.6813	43.679	84.3682
NASP	151.12	99.1229	38.9371	64.0701	113.972
CDC6	7.91433	4.82972	2.09492	3.34645	5.80624
WDHD1	9.9453	6.77758	2.69599	4.46068	9.64001
PLA2G3	4.6306	2.00631	1.33779	1.30894	3.40589
RASSF3	73.3787	54.4979	17.0234	32.1395	51.6342
CCNA2	143.624	79.0981	36.4894	53.3895	97.6639
WNT7A	7.82349	4.0527	1.17598	3.36903	6.78702
POLE	10.643	7.61817	3.81873	5.18825	10.2052
CCNF	37.1018	23.5803	10.1723	16.9721	30.9369
EXO1	7.58962	5.35154	2.41387	3.64584	7.24757
ANKLE1	13.22	7.56842	3.83753	5.64005	10.9925
FBXO48	1.38985	0.569958	0.330751	0.600057	0.966854
DKC1	43.5707	28.8476	12.4213	19.1875	34.6317
GDF1	0.0568784	4.47418	0.282453	0.821019	0.0424931
ATAD5	5.4287	3.26824	1.6211	2.22813	4.39552
LMNB1	181.734	121.614	50.1404	76.6359	145.051
TICRR	5.4774	3.89927	1.9123	2.61454	5.36229
DCTD	14.3665	8.30616	4.21812	6.22334	13.1258
CENPF	16.3289	13.5132	6.21507	7.7409	17.6989
C1orf112	10.2371	5.09995	2.72751	4.22443	8.08806
PECAM1	0.157088	2.1154	0.311909	0.715069	0.258976
CKS2	38.0268	24.9031	8.80914	16.0177	22.5146
AURKB	64.3246	45.2629	19.2198	28.1136	51.9789
PRR18	28.3797	21.6418	10.8593	11.7068	28.1366
CECR2	1.06514	0.700757	0.436925	0.465555	1.12778
PLK1	84.8727	53.9209	21.9396	36.6913	65.9928
EME1	7.33702	3.80992	2.44672	2.75732	5.7089
HELLS	27.2075	14.7065	6.47925	10.8397	17.3226
NPTX2	6.60332	4.13539	1.70384	2.73195	13.0457
GINS1	25.2754	15.1669	6.89387	10.137	19.7326
AURKA	61.4235	38.0162	17.2568	26.214	47.5647
HIST1H3E	0.49131	1.06907	0.451978	0.360676	1.04365
H2AFZ	118.833	47.4419	29.9319	36.6358	61.5608
NEURL1	5.20747	3.85814	1.51818	2.21186	4.46282
KIAA1524	31.8364	16.4156	9.04509	11.9823	22.3126
RECQL4	5.05272	3.07293	1.40158	2.15217	4.06454
EFNA5	11.4818	11.4919	2.55767	7.77892	1.05898
CCDC18	3.18199	1.42945	0.517356	1.22635	1.96305
ASPM	14.0385	10.0803	5.15757	6.52155	13.4526
SLC6A11	62.9994	38.5734	17.3651	23.1288	74.1623
MMS22L	9.59897	6.07229	3	4.43924	8.92592
NRM	29.1137	17.1895	8.9046	12.9778	24.9643
CBX2	4.9888	3.16247	1.68189	2.46779	4.88108
DLGAP3	7.17029	6.99282	2.89077	3.19834	13.3504
TK1	51.9681	39.9279	16.5549	25.4294	43.1181
DSCC1	7.54349	6.72159	2.29527	4.73018	6.30874
CHEK1	12.3537	6.31931	3.39975	4.88339	9.42416
MCM10	16.9995	11.5515	5.16935	7.50601	14.6238
XYLB	3.6734	2.43059	1.3877	1.6453	3.41563
BUB1	28.2567	13.812	7.3535	10.8716	19.4551
POLA1	22.1356	14.6691	7.60719	10.1793	17.7517
STIL	9.81965	6.42558	3.11049	4.47142	8.28612
MID1	85.5637	73.741	29.7063	42.9752	30.2802
CDCA5	21.8116	14.9272	7.26275	8.95442	17.6945
PVALB	0.591879	4.81477	1.49843	0.963503	1.59977
NSL1	6.96775	3.92331	2.3479	2.89384	5.73385
MCM5	62.5501	48.0684	20.2686	32.8143	59.2771
CHAF1B	34.4784	24.3446	10.882	17.349	30.1048
ARHGEF39	13.9313	7.86623	3.83603	4.83008	9.15795
E2F8	19.5943	12.1201	6.45982	9.15305	16.5679
DBF4	48.6539	26.6964	12.9814	19.6151	33.9071
CEP55	16.7034	8.43055	4.07287	6.78226	11.7791
TRIP13	16.6819	10.5302	4.87012	7.32923	13.394
FZD10	12.2161	7.0294	3.96699	4.8334	8.9987
CKS1B	123.488	79.2887	34.5147	47.0963	81.2818
ATAD2	21.6653	13.7049	6.84696	10.1628	16.6786
TXN	936.581	830.587	150.538	492.931	327.242
KIF2C	38.0426	22.5449	10.6854	16.9622	30.2027
KNTC1	10.2168	6.98391	3.6554	5.18648	9.77887
THG1L	7.90299	5.7548	2.85079	3.64671	6.80313
HAUS5	5.84924	5.39197	2.26168	2.63418	5.27981
NCAPD2	80.8014	57.4324	25.6552	40.2532	69.7837
CCNB1	55.9145	33.2702	16.4816	23.1172	39.7497
E2F2	7.26982	5.29178	2.52412	3.63076	6.72189
CDC7	19.0383	12.1583	5.75437	7.61457	14.8694
CLSPN	14.6747	10.116	4.54519	7.17222	12.6895
FANCB	5.33691	2.62559	1.55394	2.14281	3.58606
RFC5	23.2806	16.4821	5.78468	11.4925	20.1138
EFTUD2	68.6903	60.4409	48.7104	57.5673	69.6379
CDCA8	114.047	71.3769	30.3134	51.7285	97.3435
POLE2	21.6257	11.7152	5.58371	8.39034	13.7702
MCM2	76.9736	53.9868	25.2089	38.2341	71.8471
NDC80	31.1287	19.4948	8.79896	13.4386	27.1084
CHRM3	8.70949	9.57489	3.63782	4.70001	5.50299
KIF15	17.595	11.4478	5.1684	7.63762	13.8767
KIF22	70.2807	45.7632	19.5917	31.6244	58.7748
TGIF2	25.7952	22.8355	8.85353	13.626	22.9306
DLGAP5	34.8687	22.7642	9.84221	15.3744	26.9922
KCNK5	3.42152	2.90073	1.44707	1.70325	2.54626
TEX30	18.4974	10.1093	5.239	7.4271	13.1935
RIMS3	3.78461	3.77641	1.35395	2.84406	6.22497
TYMS	11.6204	8.52612	3.43869	6.22679	10.6493
BCL11A	2.49213	0.876588	0.540959	0.815534	1.20363
RTTN	2.41984	1.49347	0.735982	1.01373	2.20542
NPM1	206.063	129.16	67.7746	84.6097	141.361
LPO	4.97507	5.24478	2.08947	3.8589	9.36525
CLIC5	2.85437	8.64089	2.60941	1.49453	3.00682
MCM7	53.6322	35.3933	15.4978	25.0093	40.465
LYAR	46.1544	33.6875	11.716	21.1771	34.354
BRCA2	3.17645	2.45899	1.30918	1.40082	2.95893
KIF14	4.49309	2.75587	1.43416	2.27292	4.00396
TOP2A	150.688	101.822	47.7082	70.834	129.297
SPDL1	12.6043	8.36852	3.8314	5.53533	9.75797
RACGAP1	114.888	72.0946	36.6775	53.1588	94.2449
KIF11	56.1321	35.777	17.0846	24.4161	43.2571
NRGN	7.38293	9.1964	2.70594	3.38163	6.25165
CENPE	18.2303	12.6791	6.12064	8.52837	15.7424
CNPY1	2.30051	2.20897	0.859948	1.50551	1.34869
GAS1	49.9302	37.754	14.6975	20.0518	21.3896
IGSF10	10.8394	9.59226	5.62142	5.472	7.70861
CHAF1A	31.4199	24.1815	10.1389	16.7852	28.8737
CDC45	32.1652	20.645	10.7216	15.2456	27.7985
MDN1	3.11149	3.71292	2.10585	2.05684	4.37145
UNG	21.7108	15.2314	6.44834	11.0045	18.5186
RAB38	4.51011	3.99309	2.00827	1.98963	3.50863
CHTF18	10.5875	7.46397	3.75413	5.24368	8.94312
BUB1B	53.6812	33.4795	16.2093	25.9375	42.9401
POLA2	30.0489	20.4522	9.95605	14.4115	25.11
HAUS4	22.3717	15.6899	6.19661	10.7922	15.3694
PALB2	1.90745	1.07023	0.676951	1.0339	2.24517
KLF10	47.3244	31.0512	12.3337	16.9089	28.8606
JADE3	5.39235	3.05407	1.64679	2.05922	4.05998
TTK	20.0901	12.7044	6.81777	9.18833	16.1689
PKMYT1	15.1034	10.8147	4.84644	6.80512	13.3526
FAM60A	9.70319	5.69596	2.17767	3.77658	7.30598
POLQ	2.73752	1.75661	1.06564	1.40428	2.73688
PLK4	16.5812	10.1809	5.49474	7.30575	11.9281
MYO19	10.6251	10.521	4.89564	6.25171	10.9155
BLM	13.1168	6.74591	3.59407	5.11537	9.31115
MCM3	95.6389	70.8591	35.5452	48.1315	89.1218
SMC4	80.9528	46.2153	23.513	31.3399	51.3768
DEPDC1B	8.87403	4.95703	2.5749	3.89671	8.6218
MDC1	27.927	19.1283	10.5676	14.0551	27.3498
BIRC5	110.817	76.9063	35.0321	52.2937	91.2448
MEST	105.181	52.7088	44.9793	56.2625	207.132
HMMR	48.3742	28.3725	14.7169	20.9428	35.0967
CENPI	17.5652	10.6434	5.78435	7.47432	13.751
KIF24	2.98184	1.69021	1.0262	1.37184	2.38778
POLD1	35.0373	25.7847	11.2162	17.0284	30.5171
OIP5	12.9188	9.48053	4.11308	5.73787	9.94889
LIG1	62.7949	44.6553	20.3391	31.3511	51.7527
CDCA3	132.119	90.5173	40.5619	62.4571	110.547
WDR90	7.68102	6.46044	2.67642	4.14999	7.50636
INCENP	54.5881	37.5343	18.5653	27.9077	44.0651
KIF4A	26.1346	17.3301	9.19453	12.4474	23.1455
GPRIN1	5.75623	6.14083	2.52039	3.52811	3.96245
CDCA2	22.1072	14.4571	7.14633	11.1576	19.2273
RFX4	58.122	42.4946	15.1115	29.4966	43.1324
ADAM19	14.6864	12.6908	5.87288	6.7511	10.2441
CDC25B	26.9504	17.7236	8.24861	12.4326	21.6002
ZNF442	2.70755	1.773646	0.676082	1.13026	1.584947
TROAP	17.0919	11.0462	5.10303	8.36191	14.9596
FBXO5	20.8095	12.2241	5.77302	10.1745	16.4188
DCTPP1	117.42	98.094	40.3041	58.4595	117.465
HMGB2	75.0467	54.1331	20.6103	34.5199	63.4619
ORC1	4.86272	3.01563	1.44343	2.10006	3.97919
LRR1	4.74987	2.57612	1.37932	1.80104	3.10608
DNPH1	39.3957	27.276	13.6749	20.3074	33.7274
FANCA	6.91349	5.04568	2.46626	3.83469	7.01644
MYB	1.75501	1.05504	0.399633	0.997187	1.56207
MELK	27.2506	18.0268	8.87835	12.7056	21.8736
LARS2	50.5536	44.3824	20.0188	34.8208	73.3432
NUP205	29.5097	20.8258	12.0335	14.507	26.298
DDX11	7.94127	5.44449	2.97612	3.96132	7.10441
MTFR2	5.42073	2.70035	1.83128	2.14564	5.04348
CDC20	115.72	88.8906	37.4108	60.8215	103.193
TPX2	76.3166	51.236	25.0574	35.6952	62.6764
IGF2BP3	18.7074	11.74	5.62099	8.17624	11.606
NEIL3	10.9769	5.79955	2.97842	4.98395	7.224
TUBB	823.416	561.501	287.525	387.295	685.432
RASEF	1.23801	1.07434	0.470102	0.548384	0.758613
PASK	5.56551	4.06584	1.67814	3.10773	4.81555
ESCO2	18.5581	8.89475	5.02279	7.48227	11.561
CACNA1B	1.24184	1.32427	0.722166	0.745755	1.00161
CDT1	23.5281	17.8169	8.85897	12.56	20.2858
CENPN	27.8196	18.077	9.45368	12.5293	21.8887
NCAPH	54.4237	39.982	17.7756	27.3394	43.433
EZH2	65.4884	44.0986	20.9238	30.8837	50.9453
CDC25A	12.419	9.17312	4.67497	6.1622	10.3229
MUTYH	4.14586	2.70577	1.20385	2.51735	4.46316
TTLL4	7.57349	5.44571	3.35921	3.76279	6.81952
PPAT	19.6878	12.2661	6.71538	8.88207	15.8721
SLC35G1	4.06282	2.57543	1.26305	2.04719	2.98696
MYBL2	11.048	8.31572	3.50487	6.60137	10.8202
OTX1	1.88261	1.60797	0.326354	0.936217	0.394184
ADAT3	2.84742	2.36465	1.51353	1.44338	2.63903
CNTRL	6.41849	4.77026	2.79074	3.24589	5.48699
CEP72	3.8137	2.04832	1.0952	1.75476	3.16768
SPC24	29.1276	21.7359	9.81957	15.0751	22.5363
RCC1	48.9596	34.9425	16.3986	26.0936	45.7635
EN1	2.92493	6.19519	1.10806	2.89688	1.53895
RAD51B	3.61812	2.4149	1.21569	1.48388	3.19594
NEK2	25.4373	17.38	8.00626	12.932	21.476
GLCCI1	7.93424	5.30598	3.32389	3.57669	5.07518
RPS6KA6	12.1989	6.8395	3.89495	5.79576	8.51647
CENPK	17.7145	9.83163	4.83828	6.70232	10.0743
RFC4	50.6911	34.5118	18.0164	23.0973	46.4991
VRK1	20.0379	12.8136	6.42584	8.95193	17.5355
RTKN2	9.18012	6.57545	3.62895	4.25494	10.4996
H2AFX	160.064	124.492	55.3391	85.2599	143.459
C17orf53	6.81519	5.62917	2.13114	3.71428	6.74862
ARHGAP11A	37.8916	23.5076	12.9136	18.5011	32.9537
CA8	12.796	10.7568	4.23126	7.22851	3.18107
UBE2C	218.412	161.128	69.4418	104.922	174.289
FOXM1	39.9717	27.4742	16.3344	21.151	38.377
KNSTRN	46.9409	29.5179	15.0269	22.8486	39.0986
POU3F1	10.1521	11.2395	3.79005	6.57264	9.08794
NCAPG2	16.8466	9.79975	6.1326	7.7655	13.2793
FIGNL1	28.6437	18.0943	8.66322	14.233	23.6533
HCFC1	37.4568	32.7025	19.5455	22.173	36.8803
GEN1	5.77587	3.14193	1.83538	2.58354	4.43645
SPSB4	49.908	41.6187	18.3129	26.3099	42.439
TIMELESS	17.2421	12.8058	6.32473	9.38315	14.3334
AMER1	2.93009	1.90173	1.25826	1.41725	2.33406
SKA3	21.2232	13.2425	7.20508	9.83768	16.383
POLD3	21.0139	15.7103	7.65498	9.82351	18.1307
ZBTB12	14.7206	11.2663	5.95896	7.49983	13.8455
CDCA7L	16.9611	13.3775	5.36099	10.114	15.2094
PRIM1	39.3312	25.0448	12.4082	19.9448	30.0347
VWF	0.0848876	1.04595	0.33564	0.375964	0.31322
BAZ1A	11.8693	8.75254	4.97727	5.73846	9.47003
TOPBP1	47.1544	32.1319	18.0051	23.7935	41.1171
TAF5	6.07037	3.96875	2.21564	2.86387	4.77099
POLD2	69.7276	54.5544	24.0985	36.0281	63.9958
CAMKK2	34.4456	25.9672	13.4205	16.9641	26.5826
RHOBTB1	3.02661	2.28875	0.992661	1.53106	2.07582
ADAMTS6	2.08097	1.34581	0.788503	0.95116	1.94191
BRCA1	10.1542	7.39397	3.99738	5.71681	9.30962
MCM4	62.6876	42.2662	21.8971	32.215	55.4922
NUP43	27.9695	22.0871	11.266	15.1865	25.0382
KIF23	25.4179	18.3551	7.99833	12.9624	21.4439
C1orf159	14.6948	9.38689	4.70908	7.1781	13.7696
POP1	14.2066	10.6466	5.65282	9.12662	9.22714
PSMC3IP	35.3637	26.6056	11.8274	18.8261	34.1327
NMRAL1	21.9673	16.6695	8.78975	11.1093	21.4688
SMOC1	69.2604	68.1313	20.7925	35.8298	41.6977
ASF1B	27.9033	21.5363	10.1895	15.453	24.8941
ACAT2	13.3867	8.55607	5.70611	5.99278	10.3861
KCNC1	22.362	20.5631	9.988	14.0422	23.4527
PDZRN4	16.5302	12.3276	7.0254	8.74898	7.4073
FAM72A	7.91632	6.20021	3.50466	3.78966	7.45464
DNMT1	56.0147	47.8792	26.1519	31.9409	56.3483
TRA2B	68.8123	39.1498	25.4353	27.0207	36.9883
MEX3A	12.9996	9.93257	5.22027	6.83887	11.6939
RIF1	8.98371	5.69773	3.5042	4.51884	7.66428
YY2	1.83887	1.31418	0.782042	0.861998	1.14346
FAM111A	31.9078	20.0893	11.2969	15.0838	22.0698
CDK1	95.7019	68.7482	31.2406	50.0929	83.2767
BARD1	4.52598	2.66522	1.75695	2.26377	3.81891
KIAA0754	5.54917	4.23037	3.08292	3.07975	5.17074
MXD3	23.4219	18.1831	8.50759	12.2625	17.1553
DTL	17.059	10.9831	6.12104	7.97299	12.9056
TMEM173	20.0499	19.0687	9.08823	11.1318	11.1791
NNAT	130.13	129.57	75.4135	65.357	151.403
ZBED4	10.3241	7.29448	4.75112	5.54196	8.77552
SHISA3	11.7911	36.3048	2.08359	22.1448	4.69337
RRP1B	11.7636	9.88862	4.37629	6.06686	10.5452
UNC5A	4.9455	4.55961	1.92239	2.97064	2.86568
SYK	4.16732	3.64631	2.17748	1.50363	2.59982
HAUS6	11.1019	6.57889	4.30693	5.22594	8.95379
KIF18B	24.8805	17.3513	10.054	13.811	21.941
CDK2	36.1391	28.3346	15.5116	18.2038	32.6977
AHCY	48.7521	33.8495	17.3636	24.03	33.8748
TMPO	115.157	74.2259	41.0163	53.8308	89.8592
CENPA	83.43	57.0756	26.3326	39.812	65.5537
TRIM59	34.4144	16.6546	10.5154	13.5446	20.0001
MEIS2	17.8072	9.71648	4.32099	8.19011	8.42609
CKAP2L	64.1931	36.7658	22.8123	30.3468	47.2981
KBTBD8	3.35191	1.5181	1.07501	1.31528	2.13957
RIMS4	6.79003	6.87093	3.33868	4.06956	7.56052
LMNB2	22.3994	17.2709	8.28168	12.4587	18.8745
GOLGA7B	9.6312	8.72124	2.02352	3.92907	11.3311
ARC	9.14277	8.63118	3.06127	6.65574	6.55254
GPER1	3.79013	2.83967	1.59778	1.83733	2.86673
DDX39A	74.481	53.966	28.8222	42.2149	69.9597
CDC25C	21.7927	13.4915	6.43007	10.8933	16.6718
RTEL1	13.6088	10.0983	5.52564	7.87858	12.4143
SRD5A1	11.0817	8.55744	5.04047	5.86605	10.8607
KCNN4	7.7035	5.82078	2.15554	4.25399	6.25458
GEMIN6	17.9719	12.2746	6.35128	8.57679	14.4591
GPATCH4	33.6429	26.6443	14.3306	17.1087	26.9946
TONSL	5.52323	3.99983	2.52519	3.18818	5.34998
FEN1	38.7369	29.0645	14.9004	22.4639	34.2143
ADAM12	64.6663	58.8009	31.8268	37.2511	57.593
TEAD2	70.5561	55.4416	26.9575	34.176	54.3697
DCP2	10.9667	7.81103	4.9858	5.64521	9.58842
FUS	193.612	141.265	78.2774	102.607	167.758
SEZ6	24.3901	19.0155	6.24804	13.556	24.7755
HMGB3	58.6424	37.8619	21.8808	26.7323	45.0377
SYNE2	1.82179	2.51056	1.39589	1.38848	2.57168
SMC2	41.4094	26.697	14.5573	19.2944	34.0138
ZIK1	5.34284	3.08864	1.95743	2.62529	4.10358
MAD2L1	46.2903	28.441	15.0359	21.8763	33.7765
SHCBP1	33.8602	21.7862	12.1423	15.4493	25.2879
TRAIP	6.85628	5.59418	3.1853	4.00072	7.7618
DDX51	6.10375	5.22562	2.82152	3.5207	5.36823
RRP15	41.3088	32.248	13.7159	22.8843	35.5745
NOP58	98.5587	72.8643	37.4764	52.813	78.9565
TAF4B	3.27222	2.10249	1.11698	1.7885	2.01124
PRR11	24.2234	13.3132	8.15592	10.9221	16.5282
DHFR	16.2635	10.6732	6.30223	8.7602	13.9992
PPIH	3.84816	2.9867	1.34719	1.97994	2.80575
EXOSC8	62.752	39.822	19.5339	29.4203	42.7327
GABPB2	5.55114	4.04148	2.63538	3.11202	4.87937
FANCI	12.9054	8.78077	5.07484	7.3447	12.6722
HYLS1	14.7551	8.45663	4.60829	6.87796	9.19108
TET1	2.90461	2.15198	1.48837	1.26301	2.03441
LRRC7	1.21912	1.31761	0.518104	0.815674	1.25879
LFNG	72.5689	69.8818	25.0724	54.6974	77.1699
ELOVL6	49.5752	32.2547	21.3843	23.625	35.756
ECT2	31.4643	18.8835	11.3082	15.1862	24.0782
USP1	47.6107	31.3791	17.2818	23.3824	38.3421
CHD7	10.1605	7.89415	4.64992	4.95924	7.87795
CENPH	23.2729	15.4522	8.05696	11.6695	18.0039
NCAPD3	14.7771	9.31332	6.16604	7.61443	12.371
MIIP	18.5233	11.6299	6.11015	9.85364	13.9985
LBR	22.0926	15.1919	7.83877	11.4126	17.8626
ABHD15	1.46171	1.6132	0.866904	1.03976	1.70514
MFNG	1.61142	1.12962	0.388371	0.704299	0.751121
RPF1	47.2522	28.4127	15.1354	23.9698	31.6238
ANLN	26.3711	17.257	9.58864	13.0765	19.6657
HIST1H4A	1.88115	1.16938	0.879424	1.12453	2.06067
RRM1	117.537	77.0689	44.2274	62.3771	100.188
CDON	4.79149	4.40801	2.31006	2.96061	2.48628
GDF10	0.0319842	1.27296	0.564872	0.171713	0.235945
NUP85	55.8886	44.9021	24.1957	32.1487	51.3812
TLE6	26.9961	25.1264	9.58894	13.6392	27.0896
LSM2	71.1651	57.0927	25.8464	40.7464	67.0979
CENPU	5.8445	4.58016	1.93773	3.35082	4.20812
COL28A1	2.01447	6.67097	3.84304	0.747029	0.985573
CREB5	3.10383	2.15718	1.10075	1.62373	2.50588
ATM	6.59499	5.00424	3.34984	3.49574	6.36218
RAD51	22.4709	15.961	8.07288	11.6354	19.4573
WDR55	28.9679	22.1506	11.8091	16.7671	25.7267
PCNT	5.41706	5.13388	2.83663	3.33964	4.90668
SASS6	5.14974	3.15546	1.82282	2.45113	3.64463
CCNB2	69.6023	48.3309	23.1203	34.0688	53.2761
PIPOX	20.8871	14.1952	5.58641	9.4934	17.8102
CEP128	5.44204	3.46413	2.03016	2.82266	3.79021
NUF2	51.2133	33.3321	18.3574	25.8625	39.9327
HIST1H3J	0.5247	1.10452	0.185937	0.315395	0.6317
NUP107	30.5307	21.6053	11.9415	16.1568	24.5717
SYT7	8.14032	7.01668	3.39303	4.18479	8.09688
PRDM10	2.6225	1.79178	1.14869	1.42046	1.96687
NOLC1	58.0328	42.2166	23.4817	32.1795	48.2133
ICAM2	0.0796027	1.47826	0.39799	0.464432	0.11618
CENPL	12.748	7.04687	4.24373	5.22158	8.2968
GAR1	31.5481	25.5011	11.2928	16.354	26.9274
ARHGAP19	21.3711	12.7257	8.13294	10.3662	17.1127
INTS7	25.4902	20.422	11.6571	15.8407	23.6879
PRC1	87.1548	56.5104	32.5015	45.9168	73.7178
RAD18	12.4683	7.84325	4.82225	5.84974	9.89004
TRMT61A	14.1516	12.0206	6.48844	9.685	14.7722
HMGN2	219.528	142.7	74.142	101.684	150.427
ALMS1	2.84789	2.18284	1.55928	1.68823	2.90082
NUP37	15.0213	9.39378	5.3442	6.80695	12.9198
NUSAP1	55.997	34.5331	19.3695	25.2908	39.2251
BRIP1	3.56233	2.02717	1.28058	1.69355	2.57199
RAD51C	5.78923	4.00966	2.39345	2.51375	4.81455
NKAIN1	95.7135	83.116	35.512	66.5839	89.1788
ZCCHC12	8.00876	9.09263	2.98097	5.93237	9.2488
ZWILCH	24.7826	15.9425	9.27889	12.999	18.8893
DUT	40.0979	32.9204	15.256	23.4334	39.6401
KIF18A	20.7238	10.6603	6.18044	9.44981	14.9575
SMTN	16.9906	13.0054	7.03901	9.85349	13.7733
RPA2	45.3591	33.2908	16.6032	25.6305	40.9197
ITGA4	10.6555	8.41098	5.51134	4.38264	11.9816
HOXD8	0.040111	0	0.0252885	0.402418	2.29348
GMNN	47.8171	32.8015	17.3596	24.546	37.5967
FNDC1	10.3493	17.264	6.07394	7.0591	9.74512
DLL3	4.46639	3.41646	2.22274	1.8387	4.24852
WDR89	4.17158	2.65161	1.8145	2.20882	3.2305
PARPBP	6.46878	3.26574	2.07593	2.8891	4.4455
